"Indiv","loci.genoed","prop.genoed"
"z0062776",156,0.88135593220339
"z0062779",152,0.858757062146893
"z0062780",149,0.84180790960452
"z0062780b",151,0.853107344632768
"z0062783",147,0.830508474576271
"z0062784",152,0.858757062146893
"z0062787",160,0.903954802259887
"z0062787b",136,0.768361581920904
"z0076691",170,0.96045197740113
"z0076691b",159,0.898305084745763
"z0076693",172,0.971751412429379
"z0076695",166,0.937853107344633
"z0076695b",161,0.909604519774011
"z0076697",167,0.943502824858757
"z0076697b",159,0.898305084745763
"z0076699",163,0.92090395480226
"z0076701",155,0.875706214689266
"z0076703",151,0.853107344632768
"z0076705",152,0.858757062146893
"z0076707",163,0.92090395480226
"z0076709",163,0.92090395480226
"z0076711",159,0.898305084745763
"z0076713",152,0.858757062146893
"z0076715",157,0.887005649717514
"z0102589",165,0.932203389830508
"z0102605",158,0.892655367231638
"z0102605b",139,0.785310734463277
"z0102610",165,0.932203389830508
"z0102610b",150,0.847457627118644
"z0102616",168,0.949152542372881
"z0102682",133,0.751412429378531
"z0117088",106,0.598870056497175
"z0117088b",107,0.604519774011299
"z0117094",128,0.72316384180791
"z0117103",136,0.768361581920904
"z0117103b",91,0.514124293785311
"z0134055",145,0.819209039548023
"z0134059",142,0.80225988700565
"z0134061",132,0.745762711864407
"z0134064",91,0.514124293785311
"z0134066",125,0.706214689265537
"z0134070",157,0.887005649717514
"z0134070b",158,0.892655367231638
"z0134074",160,0.903954802259887
"z0134074b",152,0.858757062146893
"z0134087",131,0.740112994350282
"z0134095",120,0.677966101694915
"z0134097",141,0.796610169491525
"z0134098",136,0.768361581920904
"z0134098b",137,0.774011299435028
"z0134101",162,0.915254237288136
"z0134108",135,0.76271186440678
"z0134108b",122,0.689265536723164
"z0134109",154,0.870056497175141
"z0134111",146,0.824858757062147
"z0134112",176,0.994350282485876
"z0134112b",160,0.903954802259887
"z0134113",159,0.898305084745763
"z0134113b",150,0.847457627118644
"z0178009",176,0.994350282485876
"z0178011",175,0.988700564971751
"z0178014",174,0.983050847457627
"z0207730",175,0.988700564971751
"z0207745",171,0.966101694915254
"z0210588",176,0.994350282485876
"z0216904",174,0.983050847457627
"z0216906",168,0.949152542372881
"z0216907",119,0.672316384180791
"z0216908",52,0.293785310734463
"z0216910",72,0.406779661016949
"z0216913",132,0.745762711864407
