"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"66","Dc62188",143,6,2,2,1
"67","Dc67011",143,3,2,1,1
"68","locus002",99,3,2,1,1
"69","locus003",143,3,2,1,1
"70","locus004",143,3,2,1,1
"71","locus005",142,3,2,1,1
"72","locus006",143,3,2,1,1
"73","locus008",142,3,2,1,1
"74","locus013",143,3,2,1,1
"75","locus014",143,3,2,1,1
"76","locus016",135,3,2,1,1
"77","locus019",70,3,2,1,1
"78","locus022",143,6,2,2,1
"79","locus024",141,3,2,1,1
"80","locus025",138,3,2,1,1
"81","locus027",90,3,2,1,1
"82","locus030",143,3,2,1,1
"83","locus035",142,3,2,1,1
"84","locus038",131,3,2,1,1
"85","locus039",142,3,2,1,1
"86","locus040",129,3,2,1,1
"87","locus041",129,3,2,1,1
"88","locus043",53,3,2,1,1
"89","locus045",141,3,2,2,1
"90","locus047",143,3,2,1,1
"91","locus048",143,2,2,1,1
"92","locus053",143,6,2,2,1
"93","locus055",142,3,2,1,1
"94","locus056",143,3,2,1,1
"95","locus058",142,3,2,1,1
"96","locus060",143,3,2,1,1
"97","locus061",128,3,2,2,1
"98","locus062",143,3,2,1,1
"99","locus064",143,3,2,1,1
"100","locus065",143,2,2,1,1
"101","locus069",68,3,2,1,1
"102","locus073",141,3,2,1,1
"103","locus074",143,3,2,1,1
"104","locus076",125,3,2,1,1
"105","locus077",134,2,2,1,1
"106","locus080",138,3,2,1,1
"107","locus083",125,3,2,1,1
"108","locus088",143,3,2,1,1
"109","locus093",108,2,2,1,1
"110","locus096",143,3,2,1,1
"111","locus098",130,3,2,1,1
"112","locus100",143,3,2,2,2
"113","locus102",60,3,2,1,1
"114","locus106",143,3,2,1,1
"115","locus110",86,3,2,1,1
"116","locus111",8,2,2,1,1
"117","locus116",134,3,2,1,1
"118","locus119",143,3,2,1,1
"119","locus120",143,3,2,1,1
"120","locus126",93,3,2,1,1
"121","locus128",125,3,2,1,1
"122","locus129",143,6,2,2,1
"123","locus130",120,3,2,1,1
"124","locus134",134,3,2,1,1
"125","locus135",142,6,2,2,1
"126","locus137",143,3,2,1,1
"127","locus139",143,3,2,1,1
"128","locus140",143,3,2,1,1
"129","locus146",142,3,2,1,1
"130","locus148",143,3,2,1,1
"131","locus151",136,3,2,1,1
"132","locus155",1,1,1,1,1
"133","locus157",123,3,2,1,1
"134","locus161",142,3,2,1,1
"135","locus165",127,3,2,1,1
"136","locus170",143,3,2,1,1
"137","locus176",132,3,2,1,1
"138","locus184",143,3,2,1,1
"139","locus186",143,3,2,1,1
"140","locus188",138,6,2,2,1
"141","locus189",142,3,2,2,1
"142","locus190",143,3,2,1,1
"143","locus191",137,3,2,1,1
"144","locus192",134,3,2,1,1
"145","locus195",140,3,2,1,1
"146","locus201",14,3,2,1,1
"147","locus202",143,3,2,1,1
"148","locus210",102,3,2,1,1
"149","locus215",132,3,2,1,1
"150","locus227",142,3,2,1,1
"151","locus229",27,3,2,1,1
"152","locus231",114,3,2,1,1
"153","locus235",143,3,2,1,1
"154","locus236",143,3,2,1,1
"155","locus237",143,5,2,2,1
"156","locus239",143,3,2,1,1
"157","locus248",143,3,2,1,1
"158","locus255",81,3,2,1,1
"159","locus256",131,3,2,1,1
"160","locus263",139,2,2,1,1
"161","locus264",143,3,2,1,1
"162","locus271",15,2,2,1,1
"163","locus274",141,3,2,1,1
"164","locus280",135,3,2,1,1
"165","locus282",141,3,2,1,1
"166","locus286",141,3,2,1,1
"167","locus289",35,3,2,1,1
"168","locus291",143,3,2,1,1
"169","locus292",143,3,2,1,1
"170","locus296",143,3,2,1,1
"171","locus298",63,3,2,1,1
"172","locus301",139,3,2,1,1
"173","locus314",107,3,2,1,1
"174","locus321",141,3,2,1,1
"175","locus322",143,3,2,1,1
"176","locus323",142,3,2,1,1
"177","locus329",142,3,2,1,1
"178","locus332",143,3,2,1,1
"179","locus334",69,6,2,2,1
"180","locus349",104,3,2,1,1
"181","locus358",143,3,2,1,1
"182","locus359",142,3,2,1,1
"183","locus360",137,3,2,1,1
