"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0012490",0.538304422274661,0.0427961836005993,2.07675147946504e-05,0.0378745027896078,0.306747892593604,0.0606028235501524,0.00342557537973431,0.000986770580053377,0.00924106171679341
"z0012491",0.678613738028758,0.0313881546033262,5.01797786854623e-05,0.0846998086399923,0.133857834824093,0.000835140198597372,0.0161568659959842,0.0533986495639758,0.000999628366587132
"z0012492",0.142518465425647,0.0538910860063698,3.62010654549938e-06,0.310169934428624,0.456620242340297,0.0243956365418072,0.0115233706592303,0.000516502426186905,0.000361142065292713
"z0012493",0.987828255534097,0.00182781086307866,5.65783650468431e-06,0.000586878266443373,0.0069450863365483,4.32381201397994e-05,4.56207902576244e-05,0.00202741420046689,0.000690038052463407
"z0012494",0.694701470442475,0.0428549935624182,7.59361510850067e-05,0.00634697624649966,0.136556147767641,0.0833914477734906,0.000739147726674609,0.000548162725007451,0.0347857176047079
"z0012497",0.369750987103986,0.00734545785745977,9.05450799553241e-09,0.0236654902189713,0.532834143393229,0.0307105415410236,0.00722648981947296,0.0183348615488126,0.0101320194625366
"z0012499",0.671185308645567,0.021100308574238,7.85045651835906e-05,0.0200741955205874,0.239131627676074,0.0177160380146623,0.000751923602272406,0.00399135235530479,0.0259707410461104
"z0012500",0.120190412167475,0.0892493890839777,1.8971384888674e-08,0.074324799416078,0.581684446089049,0.000726328928882272,0.000134076896614337,0.115048865702214,0.0186416627443253
"z0012503",0.365358565100795,0.0081318973584693,0.00532902313038399,0.0046792175475979,0.372726165834701,0.0971586945306097,0.000289012082320366,0.00806802870747416,0.138259395707649
"z0012504",0.459006230086785,0.0722197730384226,0.00364647022750627,0.0373941521773661,0.416728443453358,0.00304339132926587,0.00397539860431723,0.00103284319468706,0.0029532978882915
"z0012505",0.252084241110637,0.0163233809744326,0.000448072280034626,0.009629230159046,0.52153530307549,0.005642453572712,0.180199561665698,0.0132548624807341,0.000882894681216297
