"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc49080","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"Dc49184","In-water, Indonesia",3,0,1,3,1,0.666666666666667,0.6,0.333333333333333,2
"Dc51020","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"Dc52523","In-water, Indonesia",3,0,1,3,1,0.666666666666667,0.733333333333333,0.333333333333333,2
"Dc55481","In-water, Indonesia",1,2,0.333333333333333,2,2,2,1,0.333333333333333,1
"Dc58248","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"Dc62188","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,2
"Dc67011","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus002","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus003","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus004","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus005","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus006","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,1,1
"locus008","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus013","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus014","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus022","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"locus024","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus025","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus027","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus030","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.533333333333333,0,1
"locus035","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus038","In-water, Indonesia",2,1,0.666666666666667,2,1,1,0.5,0.333333333333333,1
"locus039","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus040","In-water, Indonesia",2,1,0.666666666666667,1,0.5,0.5,0,0,1
"locus041","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus045","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"locus047","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus048","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus053","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,2
"locus055","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus056","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus058","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus060","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus061","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"locus062","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus064","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus065","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus073","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus074","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus076","In-water, Indonesia",2,1,0.666666666666667,2,1,1,0.5,0.333333333333333,1
"locus077","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus080","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus083","In-water, Indonesia",1,2,0.333333333333333,2,2,2,1,0.333333333333333,1
"locus088","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus093","In-water, Indonesia",1,2,0.333333333333333,1,1,1,0,0,1
"locus096","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus098","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
