"","K1","K2","K3","K4","K5","K6","K7"
"z0032022",0.147147147147147,0.142142142142142,0.153153153153153,0.135135135135135,0.106106106106106,0.123123123123123,0.193193193193193
"z0032023",0.137,0.163,0.149,0.155,0.107,0.12,0.169
"z0032024",0.168,0.154,0.158,0.157,0.093,0.11,0.16
"z0032031",0.178178178178178,0.158158158158158,0.157157157157157,0.14014014014014,0.0990990990990991,0.105105105105105,0.162162162162162
"z0035352",0.17017017017017,0.155155155155155,0.154154154154154,0.159159159159159,0.11011011011011,0.102102102102102,0.149149149149149
"z0037412",0.952858575727181,0.0100300902708124,0.00902708124373119,0.00902708124373119,0.00401203610832497,0.00702106318956871,0.00802407221664995
"z0037417",0.958958958958959,0.00700700700700701,0.00900900900900901,0.00900900900900901,0.004004004004004,0.00600600600600601,0.00600600600600601
"z0037418",0.927072927072927,0.00799200799200799,0.010989010989011,0.00999000999000999,0.012987012987013,0.00999000999000999,0.020979020979021
"z0037419",0.965034965034965,0.00699300699300699,0.00699300699300699,0.00799200799200799,0.003996003996004,0.003996003996004,0.004995004995005
"z0037422",0.966033966033966,0.00899100899100899,0.005994005994006,0.005994005994006,0.003996003996004,0.004995004995005,0.003996003996004
"z0037463",0.943,0.012,0.008,0.007,0.01,0.011,0.009
"z0037464",0.957915831663327,0.00801603206412826,0.00801603206412826,0.0100200400801603,0.00501002004008016,0.00601202404809619,0.00501002004008016
"z0037466",0.960921843687375,0.0130260521042084,0.00601202404809619,0.00501002004008016,0.00400801603206413,0.00701402805611222,0.00400801603206413
"z0037467",0.959919839679359,0.00801603206412826,0.00701402805611222,0.00901803607214429,0.00601202404809619,0.00501002004008016,0.00501002004008016
"z0037468",0.966,0.007,0.006,0.007,0.004,0.005,0.005
"z0037471",0.93993993993994,0.00700700700700701,0.00800800800800801,0.011011011011011,0.013013013013013,0.012012012012012,0.00900900900900901
"z0040942",0.169169169169169,0.158158158158158,0.162162162162162,0.143143143143143,0.101101101101101,0.11011011011011,0.156156156156156
"z0061457",0.005994005994006,0.00799200799200799,0.00799200799200799,0.00899100899100899,0.004995004995005,0.005994005994006,0.958041958041958
