Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	209	66	99	103	22	530	160	266	152	153	136	97	93	188	224	X	13	169	4	307	226	122	78	157	4	111	X	60	89	2	42	107	121
	326	63	156	95	60	237	59	279	96	315	187	73	70	149	128	X	12	307	13	408	383	193	104	106	13	65	X	47	69	6	18	84	132
	43	13	28	25	1	30	17	39	36	37	24	14	24	23	15	X	8	45	1	24	12	30	2	8	X	7	X	1	7	X	1	3	8
	583	139	425	319	32	1283	337	960	314	637	551	121	325	562	405	X	35	592	8	582	419	484	188	350	23	180	X	79	301	11	72	130	178
	551	99	252	129	45	395	132	499	160	408	233	159	143	264	190	X	18	410	11	655	706	242	124	176	12	82	X	62	83	104	26	72	212
	1054	245	584	404	86	1813	400	1187	683	1170	577	131	565	768	559	X	37	892	18	1072	810	756	243	495	31	241	X	142	196	140	54	180	254
	262	58	139	92	32	281	96	225	140	219	127	45	98	153	99	X	13	234	5	311	255	101	64	118	13	59	X	25	49	21	12	46	81
	666	90	289	130	95	533	107	781	174	489	220	215	108	250	178	X	16	545	25	1115	682	366	182	240	24	126	X	58	83	5	18	112	237
	27	5	4	11	X	33	11	32	25	11	22	4	17	9	13	X	7	14	X	9	2	15	4	11	3	2	X	3	2	X	X	X	5
	172	29	89	33	32	107	35	100	56	165	67	24	46	85	49	X	12	133	2	232	191	66	55	45	6	21	X	16	23	14	8	25	66
	243	59	146	82	37	197	75	227	107	271	116	75	58	125	98	X	29	262	5	348	337	127	63	93	13	58	X	35	38	4	16	56	105
	336	100	161	87	42	270	88	271	152	350	173	96	113	185	126	X	20	343	9	427	414	167	94	125	9	79	X	37	70	16	26	55	140
	46	7	22	25	11	92	13	28	42	41	18	17	14	18	9	X	20	38	1	49	32	17	10	10	12	8	X	7	7	3	2	7	11
