"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0032024",0.378894324618755,0.343178957530277,1.03531951034523e-06,0.00113219571085047,0.097882164865323,0.136529456256852,1.78068492496283e-08,0.000148574604122399,0.0422332732874604
"z0032025",0.0620933731245795,0.926865145380426,2.13061640969719e-08,1.3833689538962e-05,0.00411866106004068,0.00688757258270865,3.7744829304885e-08,1.46554207589924e-05,6.69969095380864e-06
"z0032028",0.49472223075797,0.18300558648544,5.08251754211611e-10,0.00510600940767332,0.0803150900244567,0.231319538312286,9.15466661210493e-08,0.0011618487659818,0.0043696041912746
"z0032031",0.0511196158880327,0.745764969246428,6.44714180933836e-13,0.0522295224017659,0.107415460432558,0.0433038580078521,2.91896157548933e-05,0.000135738172992706,1.64623397096244e-06
"z0035352",0.0906014240522673,0.00845634057605398,3.37712453797212e-11,0.613647622257538,0.113524471444782,0.154735187860515,3.63892660780242e-07,0.019034482859033,1.07023378457681e-07
"z0037412",0.0531443030558998,0.146876462406727,1.729250795461e-08,0.13721412949675,0.338310506396327,0.313267113707379,5.30416468748903e-07,0.0110818917216257,0.000105045506314742
"z0037417",0.0434321758040155,0.000761647365664227,2.23458349696482e-08,0.00242433458380715,0.748715661384129,0.192414423707826,7.8621698317346e-07,0.0122170596705148,3.38889212252262e-05
"z0037418",0.364921758896931,8.32960121324403e-05,3.67867254490003e-09,0.00105867004677907,0.205991102730024,0.405944420296967,5.63954790571877e-05,0.021870994356329,7.3358503108505e-05
"z0037419",0.0564918662788506,0.0056240461169486,1.39546481810699e-07,0.0184783189514434,0.735034306807912,0.182390718937227,9.31982475751006e-07,0.00167204972967816,0.000307621648982686
"z0037422",0.00507276504142025,1.39080079769529e-05,1.94208386746348e-10,0.000450323649457417,0.788782810589187,0.204289701909182,3.40173297362186e-08,0.00138850574217363,1.95084906471557e-06
"z0037463",0.304486718382417,0.000702548315762492,6.83540737915034e-06,0.00973232927452323,0.199206538144189,0.484171770369808,5.24110930733801e-05,0.00163234521559247,8.50379725574951e-06
"z0037464",0.298139383298458,0.00028392601994329,2.09487725486553e-07,0.00121326036252247,0.122882007212764,0.0959836050794055,0.107521774395998,0.37393847859067,3.73555525121569e-05
"z0037466",0.140424184033242,0.0039581728695525,2.88085290421865e-06,0.0186310217089794,0.616262858418752,0.218260684254194,3.43867327111201e-06,0.00245566602672375,1.09316238224576e-06
"z0037467",0.067715784600248,0.00075845302867788,1.45379290578388e-10,0.00792557027173991,0.86047702431231,0.0612873677602855,1.86982189723091e-08,0.00126569417399407,0.000570087009146438
