"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"Dc30071","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"Dc31007","Malaysia",2,5,0.285714285714286,2,1,0.5,0.5,0.142857142857143,1
"Dc33714","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,2
"Dc33907","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.53030303030303,0.428571428571429,1
"Dc34902","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"Dc35779","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.53030303030303,0.714285714285714,1
"Dc36571","Malaysia",5,2,0.714285714285714,2,0.4,0,0.533333333333333,0.285714285714286,1
"Dc36616","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"Dc40235","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"Dc41234","Malaysia",3,4,0.428571428571429,3,1,0.666666666666667,0.733333333333333,0.142857142857143,2
"Dc46984","Malaysia",7,0,1,3,0.428571428571429,0,0.692307692307692,0.714285714285714,2
"Dc47572","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.714285714285714,2
"Dc47935","Malaysia",7,0,1,3,0.428571428571429,0.142857142857143,0.384615384615385,0.428571428571429,3
"Dc48207","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc48950","Malaysia",7,0,1,3,0.428571428571429,0,0.648351648351648,0.857142857142857,2
"Dc49080","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.714285714285714,1
"Dc49184","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,2
"Dc51020","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"Dc52523","Malaysia",7,0,1,3,0.428571428571429,0,0.615384615384615,0.571428571428571,2
"Dc55481","Malaysia",4,3,0.571428571428571,2,0.5,0.25,0.25,0.142857142857143,1
"Dc58248","Malaysia",7,0,1,3,0.428571428571429,0,0.692307692307692,0.142857142857143,2
"Dc62188","Malaysia",7,0,1,3,0.428571428571429,0,0.714285714285714,0.857142857142857,2
"Dc67011","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.714285714285714,1
"locus003","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"locus004","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"locus005","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus006","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus008","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0,1
"locus013","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.285714285714286,1
"locus014","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus022","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,2
"locus024","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus025","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.303030303030303,0.285714285714286,1
"locus027","Malaysia",2,5,0.285714285714286,2,1,0.5,0.5,0.142857142857143,1
