"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.In-water, CA_adj","p.val.In-water, Indonesia_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"Dc51020","locus030",1,1,NA,NA,1,NA,1,NA,0.37217,0
"Dc51020","locus035",1,0.085908,NA,NA,1,1,1,NA,1,0
"Dc51020","locus038",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus039",0.27072,0.27072,NA,NA,0.27072,NA,0.14224,NA,0.262424,0
"Dc51020","locus040",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus041",1,1,NA,NA,1,NA,0.11322,NA,1,0
"Dc51020","locus045",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus047",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus048",0.5938,0.21313,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus053",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus055",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus056",0.30827,0.064308,NA,1,1,NA,1,NA,1,0
"Dc51020","locus058",1,1,NA,0.993398,1,1,1,NA,1,0
"Dc51020","locus060",1,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus061",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus062",1,0.63348,NA,1,0.343392,NA,1,NA,1,0
"Dc51020","locus064",0.49955,0.49955,NA,1,1,NA,0.102516,NA,1,0
"Dc51020","locus073",1,1,NA,1,1,1,1,NA,0.776482,0
"Dc51020","locus074",1,0.56784,NA,1,1,1,1,NA,1,0
"Dc51020","locus076",1,0.71838,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus077",1,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus080",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus083",1,NA,NA,NA,1,NA,0.835984,NA,1,0
"Dc51020","locus088",1,1,NA,NA,1,1,0.625032,NA,1,0
"Dc51020","locus093",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus096",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus098",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus100",1,1,NA,NA,0.71272,NA,1,NA,1,0
"Dc51020","locus106",1,1,NA,NA,0.68215,NA,0.68215,NA,1,0
"Dc51020","locus116",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus119",1,0.29731,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus120",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus128",0.133716,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus129",0.4767,1,NA,1,1,1,1,NA,0.097174,0
"Dc51020","locus130",1,NA,NA,NA,1,NA,1,NA,0.478816,0
"Dc51020","locus134",1,1,NA,NA,1,1,1,NA,1,0
"Dc51020","locus135",1,1,NA,1,0.347508,NA,1,NA,1,0
"Dc51020","locus137",1,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus139",0.33396,1,NA,1,1,1,0.181902,NA,1,0
"Dc51020","locus140",0.348348,1,NA,1,1,1,0.185066,NA,1,0
"Dc51020","locus146",1,0.73008,NA,1,0.73008,1,0.654556,NA,0.944808,0
"Dc51020","locus148",0.54126,1,1,1,0.397586,NA,0.54126,NA,1,0
"Dc51020","locus151",0.23635,NA,NA,1,1,NA,1,NA,1,0
"Dc51020","locus157",1,NA,NA,NA,1,NA,1,NA,0.875584,0
"Dc51020","locus161",0.71336,1,NA,0.71336,1,NA,0.137172,NA,0.71336,0
"Dc51020","locus165",1,0.47207,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus170",0.33852,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus176",1,NA,NA,NA,1,1,1,NA,1,0
"Dc51020","locus184",1,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus186",1,1,NA,1,1,NA,1,NA,1,0
"Dc51020","locus188",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus189",1,1,NA,NA,1,NA,1,1,1,0
"Dc51020","locus190",1,1,NA,NA,1,NA,1,0.860028,1,0
"Dc51020","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"Dc51020","locus192",1,1,NA,NA,1,NA,0.100728,1,1,0
"Dc51020","locus195",1,0.92159,NA,NA,1,NA,0.839928,1,1,0
"Dc51020","locus202",1,1,NA,NA,1,NA,1,1,1,0
"Dc51020","locus215",1,NA,NA,NA,0.920848,NA,0.33361,1,1,0
"Dc51020","locus227",1,1,1,NA,1,NA,1,1,1,0
"Dc51020","locus231",0.26226,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus235",1,1,NA,NA,1,NA,1,1,0.919416,0
"Dc51020","locus236",0.23172,0.32193,NA,NA,1,NA,1,1,1,0
"Dc51020","locus237",1,1,NA,NA,1,NA,1,1,1,0
"Dc51020","locus239",0.359016,1,NA,NA,1,NA,1,1,1,0
"Dc51020","locus248",1,0.767376,NA,NA,1,NA,1,1,1,0
"Dc51020","locus256",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus263",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus264",0.926,0.17447,NA,NA,1,NA,0.442744,NA,0.614244,0
"Dc51020","locus274",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus280",0.08037,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus282",1,1,NA,NA,1,NA,1,NA,0.44925,0
"Dc51020","locus286",0.29394,1,NA,NA,1,NA,0.851552,NA,1,0
"Dc51020","locus291",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus292",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus296",0.33096,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus301",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus314",0.772584,1,NA,NA,1,NA,1,NA,0.27781,0
"Dc51020","locus321",1,1,1,NA,1,NA,1,NA,1,0
"Dc51020","locus322",1,0.134892,NA,NA,1,1,0.30885,NA,1,0
"Dc51020","locus323",1,1,NA,NA,1,NA,0.21788,NA,1,0
"Dc51020","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus332",1,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus359",0.80039,1,NA,NA,1,NA,1,NA,1,0
"Dc51020","locus360",1,1,NA,NA,1,NA,0.97634,NA,0.97634,0
"Dc52523","Dc55481",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","Dc58248",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","Dc62188",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","Dc67011",1,1,NA,1,1,NA,1,NA,0.63834,0
"Dc52523","locus003",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus004",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus005",1,1,NA,1,1,1,1,NA,1,0
"Dc52523","locus006",1,1,1,1,1,NA,1,NA,1,0
"Dc52523","locus008",1,0.45308,NA,1,1,NA,1,NA,0.159756,0
"Dc52523","locus014",1,1,NA,0.410652,1,NA,1,NA,1,0
"Dc52523","locus022",1,1,NA,0.475944,1,1,1,NA,1,0
"Dc52523","locus024",0.205188,0.27291,NA,1,1,NA,1,NA,1,0
"Dc52523","locus025",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus027",0.06297,0.795306,NA,NA,0.627356,NA,NA,NA,NA,0
"Dc52523","locus030",0.24179,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus035",0.580872,1,NA,NA,1,1,1,NA,1,0
"Dc52523","locus038",1,0.64943,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus039",1,1,NA,NA,1,NA,1,NA,0.18671,0
"Dc52523","locus040",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus041",1,1,NA,NA,1,NA,0.69759,NA,1,0
"Dc52523","locus045",0.777102,1,NA,NA,1,NA,0.366224,NA,0.2255,0
"Dc52523","locus047",1,1,1,NA,1,NA,1,NA,1,0
"Dc52523","locus048",0.44595,1,NA,NA,0.44595,NA,1,NA,1,0
"Dc52523","locus053",0.0519,1,NA,NA,1,NA,0.409408,NA,1,0
"Dc52523","locus055",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus056",0.469056,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus058",0.554652,1,NA,1,1,1,1,NA,1,0
"Dc52523","locus060",0.30474,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus061",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus062",0.84852,0.91887,NA,1,1,NA,1,NA,1,0
"Dc52523","locus064",0.43584,0.7087,NA,1,1,NA,1,NA,1,0
"Dc52523","locus065",1,0.79053,NA,1,1,NA,0.19302,NA,1,0
"Dc52523","locus073",1,1,NA,0.69972,1,1,1,NA,1,0
"Dc52523","locus074",1,1,NA,1,1,1,0.185976,NA,0.395124,0
"Dc52523","locus076",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus077",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus080",0.3082,0.479928,NA,NA,0.958176,NA,1,NA,1,0
"Dc52523","locus083",0.81688,NA,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus088",0.61084,1,NA,NA,0.516624,1,0.61084,NA,1,0
"Dc52523","locus096",0.15045,0.744852,NA,NA,0.332496,NA,0.744852,NA,0.332496,0
"Dc52523","locus098",0.967656,0.25155,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus100",1,0.34684,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus106",1,0.79791,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus116",0.691136,0.74118,NA,NA,0.58674,NA,0.74118,NA,0.821896,0
"Dc52523","locus119",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus120",1,0.790592,NA,NA,1,NA,0.57139,NA,0.790592,0
"Dc52523","locus128",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus129",1,1,NA,1,1,1,1,NA,1,0
"Dc52523","locus130",0.420064,NA,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus134",1,1,NA,NA,1,1,1,NA,1,0
"Dc52523","locus135",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus137",0.374808,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus139",1,1,NA,1,0.853728,1,0.07182,NA,1,0
"Dc52523","locus140",1,1,NA,1,0.857664,1,0.070588,NA,1,0
"Dc52523","locus146",0.14616,1,NA,1,1,1,1,NA,1,0
"Dc52523","locus148",1,1,1,1,1,NA,1,NA,1,0
"Dc52523","locus151",1,NA,NA,1,1,NA,1,NA,1,0
"Dc52523","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus161",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus165",1,1,NA,NA,1,NA,0.51983,NA,1,0
"Dc52523","locus170",1,1,NA,1,0.70963,NA,0.632592,NA,1,0
"Dc52523","locus176",1,NA,NA,NA,1,1,1,NA,1,0
"Dc52523","locus184",1,1,NA,1,1,NA,1,NA,0.642612,0
"Dc52523","locus186",1,1,NA,1,1,NA,1,NA,1,0
"Dc52523","locus188",0.5671,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus189",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus190",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"Dc52523","locus192",1,1,NA,NA,0.294324,NA,1,1,1,0
"Dc52523","locus195",1,1,NA,NA,1,NA,1,1,0.28572,0
"Dc52523","locus202",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus215",0.461184,NA,1,NA,1,NA,1,1,1,0
"Dc52523","locus227",1,1,1,NA,1,NA,1,0.599102,1,0
"Dc52523","locus231",1,1,NA,NA,1,NA,1,NA,0.27533,0
"Dc52523","locus235",0.732504,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus237",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus239",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus248",1,1,NA,NA,1,NA,1,1,1,0
"Dc52523","locus256",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus263",1,1,1,NA,1,NA,0.716256,NA,1,0
"Dc52523","locus264",1,1,NA,NA,1,NA,0.76357,NA,1,0
"Dc52523","locus274",0.83194,1,NA,NA,1,NA,0.83194,NA,0.83194,0
"Dc52523","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus286",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus291",1,1,NA,NA,1,NA,1,NA,0.26007,0
"Dc52523","locus292",1,1,1,NA,1,NA,1,NA,1,0
"Dc52523","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus301",1,0.70863,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus321",0.50862,0.336396,1,NA,1,NA,1,NA,1,0
"Dc52523","locus322",1,1,NA,NA,1,1,1,NA,1,0
"Dc52523","locus323",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus329",1,0.919136,NA,NA,0.919136,NA,0.09239,NA,1,0
"Dc52523","locus332",1,0.16749,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus358",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"Dc52523","locus360",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","Dc58248",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","Dc62188",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","Dc67011",1,1,NA,1,1,NA,0.295584,NA,1,0
"Dc55481","locus003",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus004",0.111792,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus005",0.368976,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus006",1,1,1,1,1,NA,1,NA,1,0
"Dc55481","locus008",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus013",1,0.5094,NA,1,1,NA,1,NA,1,0
"Dc55481","locus014",0.998796,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus022",1,0.840432,NA,1,0.840432,NA,1,NA,1,0
"Dc55481","locus024",1,0.4989,NA,1,1,NA,1,NA,1,0
"Dc55481","locus025",1,1,1,NA,1,NA,1,NA,1,0
"Dc55481","locus027",0.86107,0.426912,NA,NA,0.663252,NA,NA,NA,NA,0
"Dc55481","locus030",1,0.1218,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus035",1,1,NA,NA,1,NA,1,NA,0.80267,0
"Dc55481","locus038",1,0.25374,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus039",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus040",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus041",1,1,NA,NA,1,NA,1,NA,0.83888,0
"Dc55481","locus045",0.1281,0.716048,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus047",0.532236,0.81426,1,NA,1,NA,1,NA,1,0
"Dc55481","locus048",0.3949,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus053",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus055",1,1,NA,NA,1,NA,1,NA,0.98058,0
"Dc55481","locus056",1,1,NA,1,1,NA,0.672672,NA,1,0
"Dc55481","locus058",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus060",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus061",1,NA,NA,NA,0.86769,NA,1,NA,0.72532,0
"Dc55481","locus062",0.35022,1,NA,1,1,NA,0.092508,NA,0.35022,0
"Dc55481","locus064",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus065",1,0.7698,NA,1,1,NA,1,NA,1,0
"Dc55481","locus073",0.151368,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus074",0.38137,0.303612,NA,1,1,NA,1,NA,1,0
"Dc55481","locus076",1,0.05671,NA,NA,1,NA,1,NA,0.224824,0
"Dc55481","locus077",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus080",1,0.8822,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus083",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus088",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus093",1,1,1,NA,1,NA,1,NA,1,0
"Dc55481","locus096",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus098",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus100",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus106",1,0.28111,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus116",0.87172,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus119",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus120",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus128",1,0.258804,NA,1,1,NA,1,NA,1,0
"Dc55481","locus129",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus130",1,NA,NA,NA,1,NA,0.491168,NA,1,0
"Dc55481","locus134",0.635888,0.10047,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus135",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus137",1,0.900144,NA,1,1,NA,0.95,NA,1,0
"Dc55481","locus139",1,0.436728,NA,1,1,NA,1,NA,1,0
"Dc55481","locus140",1,0.443364,NA,1,1,NA,1,NA,1,0
"Dc55481","locus146",1,0.62563,NA,1,1,NA,1,NA,0.252168,0
"Dc55481","locus151",1,NA,NA,1,1,NA,1,NA,0.34574,0
"Dc55481","locus157",0.504928,NA,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus161",1,1,NA,1,1,NA,1,NA,0.439572,0
"Dc55481","locus165",1,0.91592,1,NA,1,NA,1,NA,0.54822,0
"Dc55481","locus170",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus176",0.959478,NA,NA,NA,0.959478,NA,0.510192,NA,0.959478,0
"Dc55481","locus184",1,1,NA,1,1,NA,1,NA,1,0
"Dc55481","locus186",1,0.364944,NA,1,1,NA,1,NA,1,0
"Dc55481","locus188",1,1,1,NA,1,NA,1,NA,1,0
"Dc55481","locus189",0.657444,0.657444,NA,NA,1,NA,1,1,0.657444,0
"Dc55481","locus190",1,1,NA,NA,1,NA,1,1,0.881568,0
"Dc55481","locus191",1,NA,1,NA,1,NA,1,1,1,0
"Dc55481","locus192",1,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus195",1,1,NA,NA,1,NA,0.6675,1,1,0
"Dc55481","locus202",1,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus215",1,NA,NA,NA,1,NA,1,1,1,0
"Dc55481","locus227",1,1,1,NA,1,NA,1,1,1,0
"Dc55481","locus231",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus235",0.082236,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus236",1,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus237",1,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus239",1,1,NA,NA,1,NA,0.379116,1,1,0
"Dc55481","locus248",1,1,NA,NA,1,NA,1,1,1,0
"Dc55481","locus256",0.94291,1,NA,NA,1,NA,0.94291,NA,1,0
"Dc55481","locus263",0.365448,1,1,NA,1,NA,1,NA,1,0
"Dc55481","locus264",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus274",1,0.63776,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus280",1,1,NA,NA,0.47649,NA,1,NA,1,0
"Dc55481","locus282",0.98855,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus286",1,1,NA,NA,1,NA,1,NA,0.45098,0
"Dc55481","locus291",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus292",1,0.66822,1,NA,1,NA,1,NA,1,0
"Dc55481","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus301",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus314",0.41225,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus321",1,1,1,NA,1,NA,1,NA,1,0
"Dc55481","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus323",1,0.66014,NA,NA,1,NA,0.66014,NA,1,0
"Dc55481","locus332",1,1,NA,NA,1,NA,0.779624,NA,0.07568,0
"Dc55481","locus358",1,1,NA,NA,0.71497,NA,1,NA,1,0
"Dc55481","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"Dc55481","locus360",0.30172,0.995106,NA,NA,0.995106,NA,0.20167,NA,1,0
"Dc58248","Dc62188",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","Dc67011",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus003",1,1,NA,1,1,NA,0.562896,NA,0.72489,0
"Dc58248","locus004",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus005",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus006",0.236838,0.42486,1,1,1,NA,1,NA,1,0
"Dc58248","locus008",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus013",0.462924,1,NA,0.698976,1,1,1,NA,1,0
"Dc58248","locus014",1,1,NA,0.676764,1,NA,1,NA,1,0
"Dc58248","locus022",1,1,NA,1,1,NA,1,NA,0.495,0
"Dc58248","locus024",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus025",0.762732,1,1,NA,1,NA,0.76906,NA,1,0
"Dc58248","locus027",1,1,NA,NA,1,NA,NA,NA,NA,0
"Dc58248","locus030",1,1,NA,NA,1,NA,1,NA,0.51536,0
"Dc58248","locus035",1,1,NA,NA,1,1,1,NA,1,0
"Dc58248","locus038",1,0.973092,NA,NA,1,1,1,NA,0.973092,0
"Dc58248","locus039",1,0.61075,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus040",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus041",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus045",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus047",1,1,1,NA,1,NA,1,NA,1,0
"Dc58248","locus048",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus053",0.853398,0.10403,NA,NA,0.853398,NA,0.872722,NA,0.73104,0
"Dc58248","locus055",1,1,NA,NA,1,NA,1,NA,0.52302,0
"Dc58248","locus056",1,0.893592,NA,1,1,NA,1,NA,1,0
"Dc58248","locus058",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus060",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus061",0.351666,NA,NA,NA,1,NA,0.155592,NA,1,0
"Dc58248","locus062",1,1,NA,1,1,NA,0.902892,NA,1,0
"Dc58248","locus064",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus065",1,1,NA,1,1,NA,0.535116,NA,1,0
"Dc58248","locus073",1,0.87651,NA,1,1,NA,0.86748,NA,1,0
"Dc58248","locus074",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus076",1,0.44711,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus077",1,1,NA,1,1,NA,0.946656,NA,1,0
"Dc58248","locus080",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus083",0.426222,NA,NA,NA,1,NA,1,NA,0.400952,0
"Dc58248","locus088",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus093",1,1,1,NA,1,NA,1,NA,1,0
"Dc58248","locus096",0.947672,0.702264,NA,NA,1,NA,0.702264,NA,0.63969,0
"Dc58248","locus098",0.16551,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus100",1,1,NA,NA,1,NA,1,NA,0.82392,0
"Dc58248","locus106",0.5156,1,NA,NA,1,NA,0.648368,NA,1,0
"Dc58248","locus116",1,1,NA,NA,0.57723,NA,1,NA,1,0
"Dc58248","locus119",0.063996,1,NA,NA,1,1,1,NA,1,0
"Dc58248","locus120",1,0.40622,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus128",0.652576,0.175284,NA,1,1,NA,0.54963,NA,1,0
"Dc58248","locus129",1,0.808164,NA,1,1,NA,0.86408,NA,1,0
"Dc58248","locus130",0.890388,NA,NA,NA,1,NA,0.653008,NA,0.890388,0
"Dc58248","locus134",0.972108,0.972108,NA,NA,1,1,1,NA,1,0
"Dc58248","locus135",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus137",0.09528,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus139",1,1,NA,1,1,NA,1,NA,0.19494,0
"Dc58248","locus140",1,1,NA,1,1,NA,1,NA,0.201372,0
"Dc58248","locus146",1,1,NA,1,1,NA,0.927144,NA,1,0
"Dc58248","locus148",0.19103,1,1,1,1,NA,1,NA,1,0
"Dc58248","locus151",1,NA,NA,1,1,NA,1,NA,1,0
"Dc58248","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus161",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus165",1,1,1,NA,1,NA,1,NA,1,0
"Dc58248","locus170",1,0.499068,NA,1,1,NA,1,NA,1,0
"Dc58248","locus176",0.27348,NA,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus184",1,1,NA,1,1,NA,1,NA,1,0
"Dc58248","locus186",1,1,NA,1,1,NA,0.675528,NA,1,0
"Dc58248","locus188",1,0.598656,1,NA,1,NA,1,NA,1,0
"Dc58248","locus189",0.910392,1,NA,NA,1,1,1,0.399686,1,0
"Dc58248","locus190",1,1,NA,NA,1,NA,1,1,1,0
"Dc58248","locus191",1,NA,1,NA,1,NA,1,1,1,0
"Dc58248","locus192",1,1,NA,NA,1,NA,0.81208,1,0.218844,0
"Dc58248","locus195",1,0.893244,NA,NA,1,1,1,0.596596,1,0
"Dc58248","locus202",1,1,NA,NA,1,1,1,1,1,0
"Dc58248","locus215",1,NA,NA,NA,1,NA,0.45793,1,1,0
"Dc58248","locus227",1,1,1,NA,1,NA,1,0.605402,1,0
"Dc58248","locus231",1,1,NA,NA,0.70173,NA,1,NA,1,0
"Dc58248","locus235",1,1,NA,NA,1,NA,1,1,1,0
"Dc58248","locus236",0.983196,1,NA,NA,0.9765,1,1,1,1,0
"Dc58248","locus237",1,1,NA,NA,1,1,1,1,1,0
"Dc58248","locus239",1,1,NA,NA,1,1,1,1,1,0
"Dc58248","locus248",1,1,NA,NA,1,1,1,1,1,0
"Dc58248","locus256",1,1,NA,NA,1,NA,0.34549,NA,1,0
"Dc58248","locus263",1,0.80741,1,NA,1,NA,0.580116,NA,1,0
"Dc58248","locus264",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus274",0.10215,1,NA,NA,1,NA,1,NA,0.166528,0
"Dc58248","locus280",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus286",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus291",1,0.705304,NA,NA,0.869136,NA,0.68532,NA,1,0
"Dc58248","locus292",1,1,1,NA,1,NA,1,NA,1,0
"Dc58248","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus301",1,1,NA,NA,1,NA,1,NA,1,0
"Dc58248","locus314",1,0.8747,NA,NA,1,NA,1,NA,0.876592,0
"Dc58248","locus321",1,1,1,NA,1,1,0.495026,NA,1,0
