"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"Dc46984","locus202",0.99653,0.99653,NA,NA,0.99653,0.99653,0.99653,0
"Dc46984","locus215",0.730932,NA,NA,NA,0.304832,1,1,0
"Dc46984","locus227",0.269448,1,1,NA,1,1,1,0
"Dc46984","locus231",0.219928,1,NA,NA,1,NA,1,0
"Dc46984","locus235",1,0.720972,1,NA,0.7385,1,1,0
"Dc46984","locus236",1,0.649488,NA,NA,0.11057,1,1,0
"Dc46984","locus237",1,0.93079,NA,NA,1,0.93079,0.93079,0
"Dc46984","locus239",1,1,1,NA,1,1,1,0
"Dc46984","locus248",1,0.20884,NA,NA,1,0.792824,1,0
"Dc46984","locus256",1,1,1,NA,1,NA,1,0
"Dc46984","locus263",1,1,NA,NA,1,NA,1,0
"Dc46984","locus264",1,0.58896,NA,NA,1,NA,1,0
"Dc46984","locus274",0.28868,1,1,NA,0.303488,NA,1,0
"Dc46984","locus280",1,1,NA,NA,1,NA,1,0
"Dc46984","locus282",1,1,NA,NA,0.631638,NA,0.4306,0
"Dc46984","locus286",0.460336,0.802374,NA,NA,0.802374,NA,0.802374,0
"Dc46984","locus291",1,1,NA,NA,1,NA,1,0
"Dc46984","locus292",1,0.848616,NA,NA,1,NA,1,0
"Dc46984","locus296",0.830496,0.830496,NA,NA,0.830496,NA,0.830496,0
"Dc46984","locus301",0.940974,0.940974,NA,NA,0.954164,NA,0.22248,0
"Dc46984","locus314",0.93248,1,NA,NA,1,NA,1,0
"Dc46984","locus321",1,1,NA,NA,1,NA,1,0
"Dc46984","locus322",1,0.763232,NA,NA,1,NA,1,0
"Dc46984","locus323",1,1,1,NA,1,NA,0.92951,0
"Dc46984","locus329",1,0.87808,NA,NA,1,NA,1,0
"Dc46984","locus332",0.901312,1,NA,NA,1,NA,1,0
"Dc46984","locus358",0.790292,0.790292,NA,NA,0.720888,NA,0.333256,0
"Dc46984","locus359",1,1,NA,NA,1,NA,1,0
"Dc46984","locus360",1,1,NA,NA,1,NA,1,0
"Dc47572","Dc47935",1,1,NA,NA,1,1,1,0
"Dc47572","Dc48207",1,1,NA,NA,1,1,1,0
"Dc47572","Dc48950",0.815784,1,NA,NA,0.61626,1,1,0
"Dc47572","Dc49080",1,1,NA,NA,1,1,1,0
"Dc47572","Dc51020",1,1,1,NA,1,1,1,0
"Dc47572","Dc52523",1,1,NA,NA,1,1,1,0
"Dc47572","Dc55481",0.3606,0.444392,1,1,1,NA,0.3606,0
"Dc47572","Dc58248",0.29906,1,NA,1,0.765824,NA,1,0
"Dc47572","Dc67011",1,1,NA,1,1,NA,1,0
"Dc47572","locus003",1,1,NA,1,1,NA,0.62356,0
"Dc47572","locus004",1,1,NA,1,1,NA,1,0
"Dc47572","locus005",1,1,NA,1,1,NA,1,0
"Dc47572","locus006",1,1,NA,1,1,NA,1,0
"Dc47572","locus008",1,0.861096,NA,1,0.41893,NA,1,0
"Dc47572","locus013",1,1,NA,1,1,NA,1,0
"Dc47572","locus014",1,0.563288,NA,0.563288,0.36985,NA,1,0
"Dc47572","locus022",1,1,NA,0.47613,1,NA,1,0
"Dc47572","locus024",1,1,NA,1,1,NA,1,0
"Dc47572","locus025",0.462296,0.646584,NA,NA,0.646584,NA,0.646584,0
"Dc47572","locus027",0.538188,0.538188,NA,NA,NA,NA,NA,0
"Dc47572","locus030",1,1,NA,NA,0.386656,NA,0.988434,0
"Dc47572","locus035",0.59636,0.59636,NA,NA,1,NA,1,0
"Dc47572","locus038",0.79868,1,NA,NA,1,NA,1,0
"Dc47572","locus039",1,1,NA,NA,1,NA,1,0
"Dc47572","locus040",1,1,NA,NA,1,NA,1,0
"Dc47572","locus041",1,0.388488,NA,NA,0.784686,NA,1,0
"Dc47572","locus045",1,1,1,NA,1,NA,1,0
"Dc47572","locus047",1,1,NA,NA,1,NA,1,0
"Dc47572","locus048",0.457744,0.457744,NA,NA,0.457744,NA,0.457744,0
"Dc47572","locus053",1,1,NA,NA,1,NA,1,0
"Dc47572","locus055",0.598344,1,NA,NA,1,NA,0.279144,0
"Dc47572","locus056",1,1,NA,1,1,NA,1,0
"Dc47572","locus058",1,1,NA,1,1,NA,1,0
"Dc47572","locus060",1,1,NA,1,1,NA,1,0
"Dc47572","locus061",1,NA,NA,NA,1,NA,1,0
"Dc47572","locus062",1,1,1,1,0.460596,NA,0.460596,0
"Dc47572","locus064",0.84524,1,NA,0.85569,0.84524,NA,1,0
"Dc47572","locus065",1,0.8787,NA,1,1,NA,1,0
"Dc47572","locus073",1,1,NA,0.98796,1,NA,0.98796,0
"Dc47572","locus074",1,0.60245,NA,1,1,NA,1,0
"Dc47572","locus076",1,1,NA,NA,1,NA,1,0
"Dc47572","locus077",1,1,NA,1,1,NA,1,0
"Dc47572","locus080",0.088656,0.814428,NA,NA,0.639126,NA,0.814428,0
"Dc47572","locus083",0.69153,NA,NA,NA,1,NA,1,0
"Dc47572","locus088",1,0.523376,NA,NA,1,NA,1,0
"Dc47572","locus093",1,1,1,NA,1,NA,1,0
"Dc47572","locus096",0.80658,0.80658,NA,NA,0.370112,NA,0.80658,0
"Dc47572","locus098",1,1,NA,NA,1,NA,1,0
"Dc47572","locus100",1,0.942006,NA,NA,0.887568,NA,0.942006,0
"Dc47572","locus106",1,1,NA,NA,1,NA,1,0
"Dc47572","locus116",1,1,1,NA,1,NA,1,0
"Dc47572","locus119",1,1,NA,NA,0.416568,NA,1,0
"Dc47572","locus120",1,1,1,NA,1,NA,1,0
"Dc47572","locus128",0.904944,0.63108,NA,0.998536,0.998536,NA,0.27469,0
"Dc47572","locus129",1,1,NA,1,1,NA,1,0
"Dc47572","locus130",0.980984,NA,1,NA,0.980984,NA,0.980984,0
"Dc47572","locus134",0.7743,1,NA,NA,0.593672,NA,1,0
"Dc47572","locus135",1,1,1,1,1,NA,1,0
"Dc47572","locus137",1,0.74991,NA,1,1,NA,1,0
"Dc47572","locus146",1,1,NA,1,1,NA,1,0
"Dc47572","locus148",1,1,NA,1,0.94132,NA,1,0
"Dc47572","locus151",1,NA,1,1,1,NA,0.91447,0
"Dc47572","locus157",0.328344,NA,NA,NA,0.105306,NA,1,0
"Dc47572","locus161",1,1,NA,1,1,NA,1,0
"Dc47572","locus165",1,0.886926,NA,NA,0.35516,NA,1,0
"Dc47572","locus170",1,1,NA,1,0.77649,NA,1,0
"Dc47572","locus176",0.949272,NA,NA,NA,1,NA,1,0
"Dc47572","locus184",1,1,NA,1,1,NA,1,0
"Dc47572","locus186",1,1,NA,1,1,NA,1,0
"Dc47572","locus189",0.47958,1,NA,NA,1,1,1,0
"Dc47572","locus190",1,0.878872,NA,NA,1,1,0.13359,0
"Dc47572","locus191",1,NA,NA,NA,1,1,1,0
"Dc47572","locus192",1,1,NA,NA,0.594544,1,0.41949,0
"Dc47572","locus195",1,1,NA,NA,1,0.70677,1,0
"Dc47572","locus202",0.82017,1,NA,NA,1,1,1,0
"Dc47572","locus215",1,NA,NA,NA,0.202048,1,1,0
"Dc47572","locus227",1,1,1,NA,0.281544,1,1,0
"Dc47572","locus231",1,1,NA,NA,0.386024,NA,1,0
"Dc47572","locus235",1,1,1,NA,1,1,0.756168,0
"Dc47572","locus236",1,1,NA,NA,1,1,1,0
"Dc47572","locus237",0.667144,1,NA,NA,0.65903,1,1,0
"Dc47572","locus239",0.068292,1,1,NA,1,1,1,0
"Dc47572","locus248",1,1,NA,NA,1,1,1,0
"Dc47572","locus256",1,1,1,NA,0.78992,NA,1,0
"Dc47572","locus263",0.709864,0.227904,NA,NA,0.36144,NA,1,0
"Dc47572","locus264",1,0.9544,NA,NA,0.9544,NA,1,0
"Dc47572","locus274",0.357768,0.247452,NA,NA,0.881634,NA,0.203704,0
"Dc47572","locus280",1,0.999944,NA,NA,1,NA,1,0
"Dc47572","locus282",1,1,NA,NA,0.841216,NA,1,0
"Dc47572","locus286",0.918872,0.918872,NA,NA,0.918872,NA,0.918872,0
"Dc47572","locus291",1,1,NA,NA,1,NA,1,0
"Dc47572","locus292",0.418832,1,NA,NA,1,NA,1,0
"Dc47572","locus296",0.779692,0.245512,NA,NA,0.67146,NA,0.245512,0
"Dc47572","locus301",1,0.826482,NA,NA,0.754304,NA,1,0
"Dc47572","locus321",0.634832,0.634832,NA,NA,0.655644,NA,0.655644,0
"Dc47572","locus322",0.089536,0.45484,NA,NA,0.45484,NA,0.356142,0
"Dc47572","locus323",1,1,1,NA,1,NA,0.1216,0
"Dc47572","locus329",1,1,NA,NA,1,NA,1,0
"Dc47572","locus332",0.793292,0.793292,NA,NA,0.64458,NA,0.475488,0
"Dc47572","locus358",1,1,NA,NA,1,NA,1,0
"Dc47572","locus359",1,0.330688,NA,NA,1,NA,1,0
"Dc47935","Dc48207",1,0.42965,NA,NA,1,1,1,0
"Dc47935","Dc48950",0.16226,1,NA,NA,1,1,1,0
"Dc47935","Dc49080",1,1,NA,NA,1,0.7127,1,0
"Dc47935","Dc49184",1,1,NA,NA,0.52072,1,1,0
"Dc47935","Dc51020",1,1,1,NA,1,1,1,0
"Dc47935","Dc52523",0.28286,1,NA,NA,1,1,0.689536,0
"Dc47935","Dc55481",1,1,1,1,1,NA,1,0
"Dc47935","Dc58248",1,0.67753,NA,1,1,NA,1,0
"Dc47935","Dc62188",1,1,NA,1,0.07677,NA,1,0
"Dc47935","Dc67011",0.849396,0.899684,NA,0.70604,0.70604,NA,0.899684,0
"Dc47935","locus003",1,0.40313,NA,1,1,NA,1,0
"Dc47935","locus004",1,1,NA,1,1,NA,1,0
"Dc47935","locus005",1,1,NA,1,1,NA,1,0
"Dc47935","locus006",1,1,NA,0.572544,0.26656,NA,1,0
"Dc47935","locus008",1,0.27415,NA,0.564528,1,NA,1,0
"Dc47935","locus013",1,1,NA,1,0.88419,NA,1,0
"Dc47935","locus014",1,1,NA,1,1,NA,1,0
"Dc47935","locus022",1,1,NA,1,1,NA,1,0
"Dc47935","locus024",1,1,NA,1,1,NA,1,0
"Dc47935","locus025",0.541432,0.176912,NA,NA,0.981944,NA,0.378222,0
"Dc47935","locus027",0.85094,0.85094,NA,NA,NA,NA,NA,0
"Dc47935","locus030",1,1,NA,NA,1,NA,1,0
"Dc47935","locus035",1,1,NA,NA,1,NA,1,0
"Dc47935","locus038",0.69052,0.969936,NA,NA,0.969936,NA,0.969936,0
"Dc47935","locus039",0.366184,0.464604,NA,NA,0.464604,NA,0.464604,0
"Dc47935","locus040",0.187072,0.978264,NA,NA,0.978264,NA,0.546084,0
"Dc47935","locus041",1,0.124808,NA,NA,0.833406,NA,1,0
"Dc47935","locus045",1,1,1,NA,1,NA,1,0
"Dc47935","locus047",1,1,NA,NA,1,NA,1,0
"Dc47935","locus048",0.724408,0.582036,NA,NA,0.344848,NA,1,0
"Dc47935","locus053",0.835072,0.835072,NA,NA,1,NA,1,0
"Dc47935","locus055",1,0.958528,NA,NA,1,NA,1,0
"Dc47935","locus056",1,1,NA,1,1,NA,1,0
"Dc47935","locus060",0.487578,0.326048,NA,1,0.30605,NA,1,0
"Dc47935","locus061",1,NA,NA,NA,1,NA,1,0
"Dc47935","locus062",1,1,1,1,0.341664,NA,1,0
"Dc47935","locus064",1,1,NA,1,1,NA,1,0
"Dc47935","locus065",1,1,NA,1,1,NA,1,0
"Dc47935","locus073",1,1,NA,1,1,NA,1,0
"Dc47935","locus074",1,1,NA,0.71907,1,NA,1,0
"Dc47935","locus076",1,1,NA,NA,1,NA,1,0
"Dc47935","locus077",1,1,NA,1,1,NA,1,0
"Dc47935","locus080",1,0.873432,1,NA,0.27186,NA,1,0
"Dc47935","locus083",0.783252,NA,NA,NA,0.404232,NA,0.783252,0
"Dc47935","locus088",1,1,NA,NA,1,NA,1,0
"Dc47935","locus093",1,1,1,NA,1,NA,1,0
"Dc47935","locus096",1,1,NA,NA,1,NA,1,0
"Dc47935","locus098",1,1,NA,NA,1,NA,1,0
"Dc47935","locus100",0.65752,0.65752,NA,NA,0.65752,NA,0.923948,0
"Dc47935","locus106",0.741636,0.524296,NA,NA,0.936204,NA,0.936204,0
"Dc47935","locus116",1,0.15018,1,NA,1,NA,1,0
"Dc47935","locus119",0.488104,1,NA,NA,1,NA,1,0
"Dc47935","locus120",0.08681,0.277952,1,NA,0.60033,NA,0.619452,0
"Dc47935","locus128",1,1,NA,1,1,NA,1,0
"Dc47935","locus129",0.3429,1,NA,1,1,NA,1,0
"Dc47935","locus130",0.590622,NA,NA,NA,1,NA,1,0
"Dc47935","locus134",1,0.770984,NA,NA,1,NA,0.770984,0
"Dc47935","locus135",1,1,1,0.848364,1,NA,1,0
"Dc47935","locus137",1,1,NA,0.71682,1,NA,0.742304,0
"Dc47935","locus139",1,1,NA,1,1,NA,0.67719,0
"Dc47935","locus140",1,1,NA,1,1,NA,0.68496,0
"Dc47935","locus146",1,1,NA,1,1,NA,1,0
"Dc47935","locus148",1,1,NA,1,1,NA,1,0
"Dc47935","locus151",1,NA,1,1,1,NA,1,0
"Dc47935","locus157",1,NA,NA,NA,1,NA,1,0
"Dc47935","locus161",1,1,NA,1,1,NA,0.83424,0
"Dc47935","locus165",1,0.126632,NA,NA,1,NA,1,0
"Dc47935","locus170",1,1,NA,1,0.49535,NA,1,0
"Dc47935","locus176",0.878592,NA,1,NA,0.878592,NA,1,0
"Dc47935","locus184",0.546468,1,NA,1,0.529568,NA,0.45854,0
"Dc47935","locus186",1,1,NA,1,1,NA,1,0
"Dc47935","locus188",0.694782,1,NA,NA,0.408048,NA,1,0
"Dc47935","locus189",0.11144,0.952776,NA,NA,0.952776,0.915888,0.952776,0
"Dc47935","locus190",1,1,NA,NA,0.53424,1,1,0
"Dc47935","locus191",1,NA,NA,NA,1,0.792112,1,0
"Dc47935","locus192",1,0.567848,NA,NA,0.25466,0.567848,1,0
"Dc47935","locus195",0.812624,0.812624,NA,NA,0.78864,1,0.812624,0
"Dc47935","locus202",1,1,NA,NA,0.79993,1,1,0
"Dc47935","locus215",0.595988,NA,NA,NA,0.48963,0.595988,0.215992,0
"Dc47935","locus227",0.696372,1,1,NA,1,1,1,0
"Dc47935","locus231",0.302796,0.651218,NA,NA,0.134064,NA,0.329648,0
"Dc47935","locus235",1,1,1,NA,1,1,0.597324,0
"Dc47935","locus236",1,0.906016,NA,NA,0.906016,1,0.6762,0
"Dc47935","locus237",1,0.579042,NA,NA,1,0.577208,0.44813,0
"Dc47935","locus239",1,1,1,NA,1,0.744888,1,0
"Dc47935","locus248",1,1,NA,NA,1,1,1,0
"Dc47935","locus256",1,0.06426,1,NA,1,NA,1,0
"Dc47935","locus263",0.824664,1,NA,NA,1,NA,1,0
"Dc47935","locus264",1,1,NA,NA,1,NA,1,0
"Dc47935","locus274",1,0.955688,NA,NA,0.955688,NA,1,0
"Dc47935","locus280",1,1,NA,NA,1,NA,1,0
"Dc47935","locus282",0.87324,1,NA,NA,0.682744,NA,1,0
"Dc47935","locus286",0.744936,1,NA,NA,1,NA,1,0
"Dc47935","locus291",1,1,NA,NA,1,NA,1,0
"Dc47935","locus292",1,1,NA,NA,1,NA,1,0
"Dc47935","locus296",0.762574,0.621124,NA,NA,0.099096,NA,0.2769,0
"Dc47935","locus301",1,1,NA,NA,1,NA,1,0
"Dc47935","locus314",1,1,NA,NA,1,NA,1,0
"Dc47935","locus321",1,1,NA,NA,1,NA,1,0
"Dc47935","locus322",0.720464,0.720464,NA,NA,0.720464,NA,1,0
"Dc47935","locus323",1,1,1,NA,1,NA,1,0
"Dc47935","locus329",1,1,NA,NA,1,NA,1,0
"Dc47935","locus332",1,1,NA,NA,1,NA,1,0
"Dc47935","locus358",0.781356,0.402168,NA,NA,0.781356,NA,0.781356,0
"Dc47935","locus359",1,0.971304,NA,NA,1,NA,1,0
"Dc47935","locus360",1,1,1,NA,0.40215,NA,1,0
"Dc48207","Dc48950",1,1,1,NA,1,1,1,0
"Dc48207","Dc49080",1,1,NA,NA,1,1,1,0
"Dc48207","Dc49184",1,1,NA,NA,0.4403,1,1,0
"Dc48207","Dc51020",1,1,NA,NA,1,1,1,0
"Dc48207","Dc52523",1,1,NA,NA,1,1,1,0
"Dc48207","Dc55481",1,1,NA,1,1,NA,1,0
"Dc48207","Dc58248",0.26757,1,NA,1,1,NA,1,0
"Dc48207","Dc62188",1,1,1,1,1,NA,0.497196,0
"Dc48207","Dc67011",1,1,NA,1,1,NA,1,0
"Dc48207","locus003",0.45999,1,NA,1,1,NA,1,0
"Dc48207","locus004",1,1,NA,1,1,NA,1,0
"Dc48207","locus005",1,1,NA,1,1,NA,1,0
"Dc48207","locus006",0.641748,1,1,1,1,NA,1,0
"Dc48207","locus008",1,1,NA,1,1,NA,1,0
"Dc48207","locus013",1,1,NA,1,1,NA,1,0
"Dc48207","locus014",1,0.95951,NA,1,1,NA,1,0
"Dc48207","locus022",0.715272,0.62656,NA,1,0.25515,NA,1,0
"Dc48207","locus024",1,1,NA,1,1,NA,1,0
"Dc48207","locus025",1,0.571592,NA,NA,0.571592,NA,0.998732,0
"Dc48207","locus027",0.55652,0.33366,NA,NA,NA,NA,NA,0
"Dc48207","locus030",1,1,NA,NA,1,NA,1,0
"Dc48207","locus035",1,1,NA,NA,1,NA,1,0
"Dc48207","locus038",1,1,NA,NA,1,NA,1,0
"Dc48207","locus039",1,1,NA,NA,1,NA,1,0
"Dc48207","locus040",1,1,NA,NA,0.139568,NA,1,0
"Dc48207","locus041",1,1,1,NA,1,NA,1,0
"Dc48207","locus045",1,1,NA,NA,0.286176,NA,1,0
"Dc48207","locus047",1,0.72681,1,NA,1,NA,1,0
"Dc48207","locus048",1,0.797656,NA,NA,1,NA,1,0
"Dc48207","locus053",1,0.587264,NA,NA,1,NA,1,0
"Dc48207","locus055",1,0.53184,NA,NA,1,NA,1,0
"Dc48207","locus056",1,1,NA,1,1,NA,1,0
"Dc48207","locus058",1,1,NA,1,1,NA,0.83372,0
"Dc48207","locus060",1,0.17588,NA,1,1,NA,1,0
"Dc48207","locus061",1,NA,NA,NA,0.20073,NA,1,0
"Dc48207","locus062",1,1,NA,1,1,NA,1,0
"Dc48207","locus064",1,1,NA,1,1,NA,1,0
"Dc48207","locus065",1,1,NA,1,0.42143,NA,0.673792,0
"Dc48207","locus073",1,1,NA,1,1,NA,1,0
"Dc48207","locus074",1,0.51255,NA,1,1,NA,1,0
"Dc48207","locus076",1,1,NA,NA,1,NA,1,0
"Dc48207","locus077",1,1,NA,1,1,NA,1,0
"Dc48207","locus080",1,0.672352,NA,NA,1,NA,1,0
"Dc48207","locus083",1,NA,NA,NA,0.993498,NA,1,0
"Dc48207","locus088",1,1,NA,NA,1,NA,1,0
"Dc48207","locus093",1,1,1,NA,1,NA,1,0
"Dc48207","locus096",1,1,NA,NA,1,NA,1,0
"Dc48207","locus098",1,1,NA,NA,1,NA,1,0
"Dc48207","locus100",1,0.274456,NA,NA,1,NA,1,0
"Dc48207","locus106",1,1,NA,NA,1,NA,1,0
"Dc48207","locus116",1,1,NA,NA,1,NA,1,0
"Dc48207","locus119",1,1,NA,NA,1,NA,1,0
"Dc48207","locus120",1,1,NA,NA,1,NA,1,0
"Dc48207","locus128",1,1,1,1,1,NA,1,0
"Dc48207","locus129",1,1,NA,1,1,NA,1,0
"Dc48207","locus130",1,NA,NA,NA,1,NA,1,0
"Dc48207","locus134",1,1,NA,NA,1,NA,1,0
"Dc48207","locus135",1,1,NA,1,1,NA,1,0
"Dc48207","locus137",1,1,NA,1,1,NA,1,0
"Dc48207","locus139",1,1,NA,1,1,NA,1,0
"Dc48207","locus140",1,1,NA,1,1,NA,1,0
"Dc48207","locus146",1,1,NA,1,1,NA,1,0
"Dc48207","locus148",1,0.93395,1,1,1,NA,0.502452,0
"Dc48207","locus151",1,NA,NA,1,1,NA,1,0
"Dc48207","locus157",1,NA,NA,NA,1,NA,1,0
"Dc48207","locus161",0.19485,1,NA,1,1,NA,1,0
"Dc48207","locus165",1,1,NA,NA,1,NA,1,0
"Dc48207","locus170",1,0.65952,NA,1,0.65952,NA,1,0
"Dc48207","locus176",1,NA,NA,NA,1,NA,1,0
"Dc48207","locus184",1,1,NA,1,1,NA,1,0
"Dc48207","locus186",0.78411,0.78411,NA,1,1,NA,1,0
"Dc48207","locus188",1,1,NA,NA,1,NA,1,0
"Dc48207","locus189",1,1,NA,NA,0.92014,1,1,0
"Dc48207","locus190",0.42798,1,NA,NA,1,1,1,0
"Dc48207","locus191",1,NA,NA,NA,1,1,1,0
"Dc48207","locus192",1,1,NA,NA,1,1,0.83077,0
"Dc48207","locus195",1,1,NA,NA,1,1,1,0
"Dc48207","locus202",0.84272,0.84272,NA,NA,0.84272,1,0.84272,0
"Dc48207","locus215",1,NA,NA,NA,1,1,1,0
"Dc48207","locus227",1,1,1,NA,1,1,1,0
"Dc48207","locus231",1,1,1,NA,1,NA,1,0
"Dc48207","locus235",1,1,NA,NA,0.49313,1,1,0
"Dc48207","locus236",1,1,NA,NA,1,1,1,0
"Dc48207","locus237",1,1,NA,NA,0.51518,1,1,0
"Dc48207","locus239",0.36272,1,NA,NA,1,1,0.672608,0
"Dc48207","locus248",1,1,NA,NA,1,1,1,0
"Dc48207","locus256",1,1,NA,NA,0.603848,NA,1,0
"Dc48207","locus263",1,1,NA,NA,1,NA,1,0
"Dc48207","locus264",1,1,NA,NA,0.479208,NA,1,0
"Dc48207","locus274",1,1,NA,NA,1,NA,1,0
"Dc48207","locus280",0.876606,0.748472,NA,NA,1,NA,1,0
"Dc48207","locus282",1,1,NA,NA,1,NA,1,0
"Dc48207","locus286",1,1,NA,NA,1,NA,1,0
"Dc48207","locus291",1,1,NA,NA,0.694088,NA,1,0
"Dc48207","locus292",1,1,1,NA,1,NA,1,0
"Dc48207","locus296",1,1,NA,NA,1,NA,1,0
"Dc48207","locus301",1,1,NA,NA,1,NA,1,0
"Dc48207","locus314",1,1,NA,NA,1,NA,1,0
"Dc48207","locus321",1,1,1,NA,1,NA,1,0
"Dc48207","locus322",1,1,NA,NA,1,NA,1,0
"Dc48207","locus323",1,1,NA,NA,0.472664,NA,1,0
"Dc48207","locus329",0.188672,1,NA,NA,1,NA,1,0
"Dc48207","locus332",1,1,NA,NA,1,NA,1,0
"Dc48207","locus358",1,1,NA,NA,1,NA,1,0
"Dc48207","locus359",1,1,NA,NA,1,NA,1,0
"Dc48207","locus360",1,1,NA,NA,1,NA,1,0
"Dc48950","Dc49080",1,1,NA,NA,1,0.73279,1,0
"Dc48950","Dc51020",1,1,NA,NA,1,1,1,0
"Dc48950","Dc52523",1,1,NA,NA,1,1,1,0
"Dc48950","Dc55481",0.34986,1,NA,1,1,NA,1,0
"Dc48950","Dc62188",1,1,1,1,1,NA,1,0
"Dc48950","Dc67011",0.59341,1,NA,1,0.59341,NA,1,0
"Dc48950","locus003",1,0.6771,NA,1,0.79224,NA,0.6771,0
"Dc48950","locus004",1,1,NA,1,0.45839,NA,1,0
"Dc48950","locus005",0.69429,1,NA,1,1,NA,1,0
"Dc48950","locus006",1,1,1,1,0.91119,NA,0.486048,0
"Dc48950","locus008",1,1,NA,1,1,NA,0.38364,0
"Dc48950","locus013",0.936378,0.936378,NA,0.08559,0.936378,NA,0.089784,0
"Dc48950","locus014",0.24737,1,NA,1,1,NA,1,0
"Dc48950","locus022",1,0.48866,NA,1,1,NA,1,0
"Dc48950","locus024",1,1,NA,1,1,NA,1,0
"Dc48950","locus025",1,1,NA,NA,1,NA,0.634168,0
"Dc48950","locus027",1,1,NA,NA,NA,NA,NA,0
"Dc48950","locus030",1,1,NA,NA,1,NA,1,0
"Dc48950","locus035",0.21285,0.171,NA,NA,1,NA,1,0
"Dc48950","locus038",1,0.11072,NA,NA,1,NA,1,0
"Dc48950","locus039",0.34792,0.23024,NA,NA,0.34792,NA,0.23024,0
"Dc48950","locus040",1,1,NA,NA,1,NA,1,0
"Dc48950","locus041",1,1,1,NA,1,NA,0.51244,0
"Dc48950","locus047",1,0.70416,1,NA,1,NA,1,0
"Dc48950","locus048",1,1,NA,NA,0.934248,NA,1,0
"Dc48950","locus053",0.38812,0.38812,NA,NA,0.672246,NA,0.38812,0
"Dc48950","locus055",1,1,NA,NA,1,NA,1,0
"Dc48950","locus056",1,1,NA,1,1,NA,0.80085,0
"Dc48950","locus060",0.41886,0.854058,NA,0.854058,0.854058,NA,0.46864,0
"Dc48950","locus061",0.980534,NA,NA,NA,0.054636,NA,0.131616,0
"Dc48950","locus062",0.732296,1,NA,0.24495,1,NA,1,0
"Dc48950","locus064",1,0.51374,NA,1,1,NA,1,0
"Dc48950","locus065",1,1,NA,1,1,NA,1,0
"Dc48950","locus073",1,1,NA,1,1,NA,1,0
"Dc48950","locus074",1,1,NA,1,0.18337,NA,1,0
"Dc48950","locus076",0.353898,0.3468,NA,NA,1,NA,1,0
"Dc48950","locus077",1,0.69784,NA,1,1,NA,0.69784,0
"Dc48950","locus080",0.83004,1,NA,NA,1,NA,1,0
"Dc48950","locus083",1,NA,NA,NA,1,NA,1,0
"Dc48950","locus088",1,1,NA,NA,0.23496,NA,0.456072,0
"Dc48950","locus093",1,1,1,NA,1,NA,1,0
"Dc48950","locus096",1,1,NA,NA,1,NA,0.296328,0
"Dc48950","locus098",1,1,NA,NA,1,NA,0.62644,0
"Dc48950","locus100",1,1,NA,NA,0.628952,NA,1,0
"Dc48950","locus106",1,1,NA,NA,1,NA,1,0
"Dc48950","locus116",0.405264,0.886914,NA,NA,0.485428,NA,0.405264,0
"Dc48950","locus119",0.7534,0.628578,NA,NA,0.7534,NA,0.246312,0
"Dc48950","locus120",0.150462,0.274512,NA,NA,0.385694,NA,0.12024,0
"Dc48950","locus128",1,1,1,1,1,NA,1,0
"Dc48950","locus130",0.639846,NA,NA,NA,1,NA,1,0
"Dc48950","locus134",0.118288,0.428304,NA,NA,1,NA,1,0
"Dc48950","locus135",1,1,NA,1,1,NA,1,0
"Dc48950","locus137",1,1,NA,1,1,NA,1,0
"Dc48950","locus139",1,1,NA,1,1,NA,1,0
"Dc48950","locus140",1,1,NA,1,1,NA,1,0
"Dc48950","locus146",1,1,NA,1,1,NA,1,0
"Dc48950","locus148",1,0.46896,1,1,1,NA,1,0
"Dc48950","locus151",1,NA,NA,1,1,NA,1,0
"Dc48950","locus157",0.11841,NA,NA,NA,1,NA,1,0
"Dc48950","locus161",0.6056,0.940518,NA,0.47957,0.940518,NA,0.940518,0
"Dc48950","locus165",0.381828,0.381828,NA,NA,0.199832,NA,1,0
"Dc48950","locus170",1,1,NA,1,0.07058,NA,1,0
"Dc48950","locus176",1,NA,NA,NA,1,NA,0.159048,0
"Dc48950","locus184",1,0.574544,NA,0.849366,1,NA,0.38634,0
"Dc48950","locus186",0.935736,1,NA,1,1,NA,0.30098,0
"Dc48950","locus188",0.46232,1,NA,NA,1,NA,1,0
"Dc48950","locus189",0.776496,0.776496,NA,NA,0.22285,0.776496,0.776496,0
"Dc48950","locus190",0.876288,0.25504,NA,NA,0.274808,1,1,0
"Dc48950","locus191",0.792056,NA,NA,NA,0.981856,0.465944,0.785364,0
"Dc48950","locus192",1,1,NA,NA,1,0.71688,1,0
"Dc48950","locus195",0.73195,1,NA,NA,1,1,1,0
"Dc48950","locus202",0.39534,1,NA,NA,1,1,1,0
"Dc48950","locus215",1,NA,NA,NA,0.168912,1,1,0
"Dc48950","locus227",0.426036,1,1,NA,1,1,1,0
"Dc48950","locus231",1,1,1,NA,1,NA,0.3705,0
"Dc48950","locus235",1,1,NA,NA,0.93788,1,1,0
"Dc48950","locus236",1,0.05074,NA,NA,1,1,0.921456,0
