"locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus005",221,2,0.991031390134529,2,0.00904977375565611,0,0.34841628959276,0.309417040358744,1
"locus006",223,0,1,2,0.00896860986547085,0,0.336020557263062,0.354260089686099,1
"locus008",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.415065178044862,0.439461883408072,1
"locus013",223,0,1,2,0.00896860986547085,0,0.472817050435834,0.430493273542601,1
"locus014",223,0,1,2,0.00896860986547085,0,0.496679598931829,0.457399103139013,1
"locus022",223,0,1,3,0.0134529147982063,0,0.597772963168237,0.609865470852018,2
"locus024",215,8,0.964125560538117,2,0.00930232558139535,0,0.33176126199382,0.340807174887892,1
"locus025",215,8,0.964125560538117,2,0.00930232558139535,0,0.500992031224589,0.426008968609865,1
"locus027",139,84,0.623318385650224,2,0.0143884892086331,0,0.395423733215594,0.228699551569507,1
"locus030",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.500111849998983,0.466367713004484,1
"locus035",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.220934252536961,0.233183856502242,1
"locus038",203,20,0.910313901345291,2,0.00985221674876847,0,0.501185914979018,0.426008968609865,1
"locus039",217,6,0.973094170403587,2,0.00921658986175115,0,0.248752141846085,0.273542600896861,1
"locus040",199,24,0.89237668161435,2,0.0100502512562814,0,0.246028631824108,0.165919282511211,1
"locus041",190,33,0.852017937219731,2,0.0105263157894737,0,0.405651992778781,0.345291479820628,1
"locus045",215,8,0.964125560538117,2,0.00930232558139535,0,0.297674418604651,0.286995515695067,2
"locus047",223,0,1,2,0.00896860986547085,0,0.494825414420315,0.475336322869955,1
"locus048",221,2,0.991031390134529,2,0.00904977375565611,0,0.122890181713711,0.130044843049327,1
"locus053",221,2,0.991031390134529,3,0.0135746606334842,0,0.589271606078329,0.57847533632287,2
