"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc36616","Dc46984",0.714256,0.936164,NA,NA,0.845356,0.807112,0.519306,0
"Dc36616","Dc47572",0.471634,0.431454,NA,NA,0.842806,1,1,0
"Dc36616","Dc47935",0.809932,0.617456,NA,NA,0.519502,1,0.29661,0
"Dc36616","Dc48207",1,0.257278,NA,NA,0.54954,1,1,0
"Dc36616","Dc48950",0.762666,0.108138,NA,NA,0.41526,0.71123,0.45064,0
"Dc36616","Dc49080",0.602916,0.232154,NA,NA,0.786152,1,1,0
"Dc36616","Dc49184",0.681996,0.373972,NA,NA,0.840832,0.62017,1,0
"Dc36616","Dc51020",0.657234,0.467422,NA,NA,0.836312,0.142992,0.364264,0
"Dc36616","Dc52523",0.265208,0.445602,NA,NA,0.29785,1,0.648442,0
"Dc36616","Dc55481",0.680746,0.914468,NA,1,0.169958,NA,0.319692,0
"Dc36616","Dc58248",0.628354,0.445882,NA,0.166866,0.638332,NA,0.848946,0
"Dc36616","Dc62188",0.632656,0.66533,NA,1,0.21148,NA,1,0
"Dc36616","Dc67011",0.378,0.13011,NA,1,0.663636,NA,0.5473,0
"Dc36616","locus003",0.579204,0.892646,1,1,0.042754,NA,0.808952,1
"Dc36616","locus004",0.02661,0.17134,NA,1,0.770716,NA,1,1
"Dc36616","locus005",0.11992,0.757364,NA,1,0.263948,NA,0.8015,0
"Dc36616","locus006",0.653348,0.853968,NA,1,0.941798,NA,1,0
"Dc36616","locus008",0.925562,0.592446,NA,1,0.506892,NA,0.538782,0
"Dc36616","locus013",0.457456,0.606506,NA,1,0.29714,NA,1,0
"Dc36616","locus014",0.569102,0.663898,NA,0.167534,0.766862,NA,0.18624,0
"Dc36616","locus022",0.4906,0.62926,NA,1,0.41377,NA,0.090296,0
"Dc36616","locus024",0.451058,0.65425,0.248064,1,0.87147,NA,0.704546,0
"Dc36616","locus025",0.156534,0.65748,NA,NA,0.718388,NA,0.208736,0
"Dc36616","locus027",0.163048,0.288304,NA,NA,NA,NA,NA,0
"Dc36616","locus030",0.987368,0.29909,NA,NA,0.818944,NA,0.752148,0
"Dc36616","locus035",0.885912,0.273588,NA,NA,0.220994,NA,0.54714,0
"Dc36616","locus038",0.785872,0.024972,NA,0.497996,0.807812,NA,1,1
"Dc36616","locus039",0.177816,0.412344,NA,NA,0.82888,NA,1,0
"Dc36616","locus040",0.05559,0.644638,1,NA,0.921238,NA,1,0
"Dc36616","locus041",0.078428,0.96609,NA,NA,0.387398,NA,1,0
"Dc36616","locus045",0.605884,0.110218,1,NA,0.648394,NA,1,0
"Dc36616","locus047",0.058972,0.85437,NA,NA,0.659514,NA,0.691334,0
"Dc36616","locus048",0.575488,0.09955,NA,NA,1,NA,1,0
"Dc36616","locus053",0.86925,0.793884,NA,NA,0.080904,NA,0.390604,0
"Dc36616","locus055",0.547846,0.101144,0.499928,NA,0.161278,NA,0.250262,0
"Dc36616","locus056",0.48332,0.504116,NA,1,0.112882,NA,1,0
"Dc36616","locus058",0.454822,0.4248,NA,0.499918,0.369292,NA,1,0
"Dc36616","locus060",0.198106,0.297458,NA,1,0.128444,NA,0.257696,0
"Dc36616","locus061",0.424992,NA,NA,NA,1,NA,0.61501,0
"Dc36616","locus062",0.664724,0.184718,1,1,0.617842,NA,0.328132,0
"Dc36616","locus064",0.114252,0.507586,NA,1,0.909248,NA,0.636234,0
"Dc36616","locus065",0.879164,0.612902,1,1,0.471158,NA,0.637682,0
"Dc36616","locus073",0.018798,0.885988,NA,1,0.352818,NA,0.39366,1
"Dc36616","locus074",0.086432,0.73519,NA,1,0.401384,NA,0.041194,1
"Dc36616","locus076",0.210714,9e-04,NA,NA,0.615022,NA,0.69628,1
"Dc36616","locus077",0.500196,0.887368,NA,Inf,0.686954,NA,1,0
"Dc36616","locus080",0.243704,0.36766,NA,NA,0.700664,NA,0.187052,0
"Dc36616","locus083",0.645898,NA,NA,NA,0.228076,NA,1,0
"Dc36616","locus088",0.95301,0.805804,1,NA,0.742178,NA,1,0
"Dc36616","locus093",1,Inf,Inf,NA,1,NA,1,0
"Dc36616","locus096",0.831126,0.875254,NA,NA,0.365948,NA,1,0
"Dc36616","locus098",0.04725,0.045708,NA,NA,0.076038,NA,0.771948,2
"Dc36616","locus100",0.231504,0.069696,NA,NA,0.10769,NA,0.211082,0
"Dc36616","locus106",1,0.889056,NA,NA,0.452826,NA,1,0
"Dc36616","locus116",0.022674,0.059416,NA,NA,0.67901,NA,1,1
"Dc36616","locus119",0.91095,0.208074,NA,NA,0.959668,NA,0.802562,0
"Dc36616","locus120",0.900492,0.860008,NA,NA,1,NA,0.175652,0
"Dc36616","locus128",0.837022,0.852574,NA,1,0.689394,NA,1,0
"Dc36616","locus129",0.654298,0.030418,NA,0.497612,0.447532,NA,0.604924,1
"Dc36616","locus130",0.493182,NA,NA,NA,0.19488,NA,1,0
"Dc36616","locus134",0.213766,0.408156,NA,NA,0.807882,NA,1,0
"Dc36616","locus135",0.119858,0.658554,NA,1,0.881156,NA,1,0
"Dc36616","locus137",0.443758,0.595874,NA,1,0.86862,NA,1,0
"Dc36616","locus139",0.554646,0.480856,NA,1,0.073046,NA,1,0
"Dc36616","locus140",0.557732,0.480456,NA,1,0.070602,NA,1,0
"Dc36616","locus146",0.782084,0.526602,NA,0.40192,0.894512,NA,0.604658,0
"Dc36616","locus148",0.438196,0.304392,NA,0.334604,0.094986,NA,0.4545,0
"Dc36616","locus151",0.943052,NA,NA,0.197662,0.285982,NA,0.613506,0
"Dc36616","locus157",0.332984,NA,NA,NA,0.292364,NA,1,0
"Dc36616","locus161",0.172366,0.305376,NA,1,0.341182,NA,0.654868,0
"Dc36616","locus165",0.87569,0.342796,NA,NA,0.192136,NA,1,0
"Dc36616","locus170",0.781118,0.391874,NA,0.166564,0.065886,NA,1,0
"Dc36616","locus176",0.766236,NA,NA,NA,0.737664,NA,0.35782,0
"Dc36616","locus184",0.670138,0.728902,NA,1,0.038232,NA,1,1
"Dc36616","locus186",0.175572,0.892352,NA,1,0.117428,NA,1,0
"Dc36616","locus188",0.202918,0.561974,NA,NA,0.545518,NA,0.88363,0
"Dc36616","locus189",0.43694,0.593798,NA,NA,0.212096,1,0.449598,0
"Dc36616","locus190",0.554586,0.811364,NA,NA,0.778278,0.048336,1,1
"Dc36616","locus191",0.034126,NA,NA,NA,0.23459,1,0.802632,1
"Dc36616","locus192",0.873098,0.289634,NA,NA,0.142242,1,0.80168,0
"Dc36616","locus195",0.522104,0.468958,NA,NA,0.475404,0.43019,0.09135,0
"Dc36616","locus202",0.917572,0.223372,NA,NA,0.89182,1,1,0
"Dc36616","locus215",0.722544,NA,NA,NA,0.871986,1,1,0
"Dc36616","locus227",0.60755,0.227632,Inf,NA,0.85912,1,0.636728,0
"Dc36616","locus231",0.889822,0.539312,NA,NA,0.047478,NA,0.66537,1
"Dc36616","locus235",0.816158,0.969284,NA,NA,0.873156,Inf,0.096198,0
"Dc36616","locus236",0.621274,0.735594,NA,NA,0.11334,1,1,0
"Dc36616","locus237",0.287302,0.751396,NA,NA,0.087248,0.52318,0.230834,0
"Dc36616","locus239",0.536372,0.333056,NA,NA,0.97601,1,0.32753,0
"Dc36616","locus248",0.667238,0.652784,NA,NA,0.75879,1,1,0
"Dc36616","locus256",0.93493,0.5625,NA,NA,0.498672,NA,0.539596,0
"Dc36616","locus263",0.15816,0.461256,NA,NA,0.700406,NA,1,0
"Dc36616","locus264",0.260904,0.728156,NA,NA,0.790356,NA,0.40443,0
"Dc36616","locus274",0.036042,0.393616,Inf,NA,0.09507,NA,0.287366,1
"Dc36616","locus280",0.938672,0.862076,NA,NA,0.381418,NA,1,0
"Dc36616","locus282",0.137012,0.61482,0.50001,NA,0.003748,NA,1,1
"Dc36616","locus286",0.062924,0.410008,NA,NA,0.835196,NA,0.546604,0
"Dc36616","locus291",0.714992,0.771304,NA,NA,0.324894,NA,0.450686,0
"Dc36616","locus292",0.11291,0.818616,NA,NA,0.014924,NA,1,1
"Dc36616","locus296",0.302706,0.902234,NA,NA,0.762946,NA,0.80263,0
"Dc36616","locus301",0.669204,0.472918,Inf,NA,0.675518,NA,1,0
"Dc36616","locus314",0.540228,0.122844,NA,NA,1,NA,1,0
"Dc36616","locus321",0.976268,0.748866,NA,NA,0.291374,NA,0.754634,0
"Dc36616","locus322",0.560418,0.323026,NA,NA,0.199486,NA,1,0
"Dc36616","locus323",0.986508,0.556834,NA,NA,0.61269,NA,1,0
"Dc36616","locus329",0.03399,0.439304,NA,NA,0.942734,NA,0.354352,1
"Dc36616","locus332",0.20466,0.929928,NA,NA,0.068786,NA,0.538462,0
"Dc36616","locus358",0.554122,0.006708,NA,NA,0.491346,NA,0.25782,1
"Dc36616","locus359",0.177838,0.285258,NA,NA,0.164826,NA,Inf,0
"Dc36616","locus360",0.147808,0.161896,NA,NA,6.6e-05,NA,0.207856,1
"Dc40235","Dc41234",0.056116,0.948836,NA,NA,NA,NA,0.111214,0
"Dc40235","Dc46984",0.233628,0.945894,NA,NA,0.050054,1,0.518528,0
"Dc40235","Dc47572",0.166134,0.525564,NA,NA,0.807282,1,1,0
"Dc40235","Dc47935",0.642966,0.708198,NA,NA,0.777312,0.656868,0.299848,0
"Dc40235","Dc48207",1,0.594482,NA,NA,0.604518,0.427952,1,0
"Dc40235","Dc48950",0.259384,0.27003,NA,NA,0.276498,0.029104,1,1
"Dc40235","Dc49080",0.636104,0.259326,NA,NA,0.378214,0.142366,1,0
"Dc40235","Dc49184",0.349254,0.581556,NA,NA,0.970064,1,0.033724,1
"Dc40235","Dc51020",0.6467,0.857116,NA,NA,0.117764,0.659438,1,0
"Dc40235","Dc52523",0.78811,0.638034,NA,NA,0.700816,0.430718,0.651792,0
"Dc40235","Dc55481",0.229594,0.187796,NA,1,0.047076,NA,0.319058,1
"Dc40235","Dc58248",0.109476,0.225258,NA,1,0.3745,NA,0.85099,0
"Dc40235","Dc62188",0.460932,0.588516,NA,1,0.955,NA,0.84847,0
"Dc40235","Dc67011",1,0.859276,NA,1,0.344692,NA,0.545002,0
"Dc40235","locus003",0.518918,0.855088,0.331528,1,0.59911,NA,0.52125,0
"Dc40235","locus004",0.191062,0.054092,NA,0.40069,0.397474,NA,0.257104,0
"Dc40235","locus005",0.114334,0.227684,NA,0.400358,0.595352,NA,0.800884,0
"Dc40235","locus006",0.607004,0.509722,NA,1,0.25549,NA,0.61357,0
"Dc40235","locus008",0.42931,0.858412,NA,0.400298,0.38986,NA,0.539598,0
"Dc40235","locus013",0.198178,0.413524,NA,1,0.958878,NA,1,0
"Dc40235","locus014",0.638904,0.447652,NA,0.601328,0.16426,NA,0.80209,0
"Dc40235","locus022",0.35798,0.696768,NA,1,0.047892,NA,0.645262,1
"Dc40235","locus024",0.652096,0.451572,1,1,0.63485,NA,1,0
"Dc40235","locus025",0.974532,0.40619,NA,NA,0.941376,NA,1,0
"Dc40235","locus027",0.72728,0.461128,NA,NA,NA,NA,NA,0
"Dc40235","locus030",0.62224,0.192548,NA,NA,0.07403,NA,1,0
"Dc40235","locus035",0.681594,0.768428,NA,NA,0.538158,NA,0.54638,0
"Dc40235","locus038",0.517022,0.963724,NA,1,0.331828,NA,1,0
"Dc40235","locus039",0.263664,0.035776,NA,NA,0.668914,NA,1,1
"Dc40235","locus040",1,0.23593,0.334098,NA,0.08469,NA,1,0
"Dc40235","locus041",0.953146,0.342282,NA,NA,0.582488,NA,1,0
"Dc40235","locus045",0.273614,0.630512,Inf,NA,0.352686,NA,1,0
"Dc40235","locus047",0.762358,0.860998,NA,NA,0.350742,NA,0.076716,0
"Dc40235","locus048",0.152288,0.1261,NA,NA,1,NA,0.546114,0
"Dc40235","locus053",0.655516,0.16325,NA,NA,0.289036,NA,0.39003,0
"Dc40235","locus055",0.439676,0.57506,Inf,NA,0.24657,NA,1,0
"Dc40235","locus056",0.26612,0.708544,NA,1,0.746424,NA,0.53778,0
"Dc40235","locus058",0.808422,0.390566,NA,1,0.889326,NA,0.12723,0
"Dc40235","locus060",0.054038,0.80249,NA,Inf,0.605086,NA,1,0
"Dc40235","locus061",0.585002,NA,NA,NA,0.604738,NA,0.61481,0
"Dc40235","locus062",0.64516,0.019214,Inf,0.399964,1,NA,0.327194,1
"Dc40235","locus064",0.426388,0.658278,NA,0.401272,0.419904,NA,1,0
"Dc40235","locus065",0.032636,1,0.332806,1,0.137738,NA,1,1
"Dc40235","locus073",0.026638,0.13352,NA,1,0.552742,NA,1,1
"Dc40235","locus074",0.679368,0.43,NA,0.4004,0.331128,NA,0.041326,1
"Dc40235","locus076",0.09093,0.672656,NA,NA,0.043972,NA,0.044552,2
"Dc40235","locus077",0.454052,0.525656,NA,Inf,0.095056,NA,1,0
"Dc40235","locus080",0.9747,0.028798,NA,NA,0.766596,NA,1,1
"Dc40235","locus083",1,NA,NA,NA,0.956458,NA,1,0
"Dc40235","locus088",0.908158,0.276952,1,NA,0.013816,NA,0.32612,1
"Dc40235","locus093",0.670978,Inf,Inf,NA,0.36364,NA,1,0
"Dc40235","locus096",0.549546,0.857472,NA,NA,0.242944,NA,1,0
"Dc40235","locus098",0.818376,0.156114,NA,NA,0.21156,NA,0.773426,0
"Dc40235","locus100",0.575214,1,NA,NA,0.080934,NA,0.209868,0
"Dc40235","locus106",0.139074,0.768648,NA,NA,0.046144,NA,1,1
"Dc40235","locus116",0.54902,0.649802,NA,NA,0.039538,NA,0.691924,1
"Dc40235","locus119",0.471756,0.2705,NA,NA,0.019694,NA,0.801942,1
"Dc40235","locus120",0.489784,0.832004,NA,NA,1,NA,0.17718,0
"Dc40235","locus128",0.879944,0.816472,NA,1,0.587958,NA,1,0
"Dc40235","locus129",0.443948,0.913082,NA,1,0.141052,NA,1,0
"Dc40235","locus130",0.585842,NA,NA,NA,0.687142,NA,1,0
"Dc40235","locus134",0.329048,0.966864,NA,NA,0.806254,NA,1,0
"Dc40235","locus135",0.412868,0.932358,NA,0.400804,0.007418,NA,0.847396,1
"Dc40235","locus137",0.497944,0.274692,NA,1,0.064722,NA,0.127306,0
"Dc40235","locus139",0.721334,0.034106,NA,1,0.088694,NA,1,1
"Dc40235","locus140",0.721138,0.035544,NA,1,0.092758,NA,1,1
"Dc40235","locus146",0.81551,0.973662,NA,1,0.469228,NA,1,0
"Dc40235","locus148",0.602184,0.900116,NA,1,0.61989,NA,0.456098,0
"Dc40235","locus151",1,NA,NA,0.601166,0.254792,NA,0.616646,0
"Dc40235","locus157",0.33128,NA,NA,NA,0.64139,NA,0.10704,0
"Dc40235","locus161",0.684666,0.163644,NA,1,0.308012,NA,0.651776,0
"Dc40235","locus165",0.298452,0.209174,NA,NA,0.112604,NA,1,0
"Dc40235","locus170",0.303398,0.009086,NA,0.602366,0.746418,NA,1,1
"Dc40235","locus176",0.862112,NA,NA,NA,0.67513,NA,0.35606,0
"Dc40235","locus184",0.648116,0.749334,NA,0.39956,0.840406,NA,0.1756,0
"Dc40235","locus186",0.77415,0.55297,NA,0.398654,0.464616,NA,1,0
"Dc40235","locus188",0.065478,0.264484,NA,NA,0.924868,NA,0.882892,0
"Dc40235","locus189",0.348414,0.764288,NA,NA,0.305958,0.056732,0.449774,0
"Dc40235","locus190",0.331474,0.250136,NA,NA,1,1,1,0
"Dc40235","locus191",0.251164,NA,NA,NA,0.049378,0.141058,0.805242,1
"Dc40235","locus192",0.67331,0.474084,NA,NA,0.078604,0.142886,0.80305,0
"Dc40235","locus195",0.797414,0.646036,NA,NA,0.549734,0.14257,0.211298,0
"Dc40235","locus202",0.160744,0.694182,NA,NA,0.867262,0.485698,1,0
"Dc40235","locus215",0.195582,NA,NA,NA,0.132884,0.656926,1,0
"Dc40235","locus227",0.567484,0.280462,Inf,NA,0.04842,0.1434,0.637322,1
"Dc40235","locus231",0.062438,0.848888,NA,NA,0.90462,NA,0.666494,0
"Dc40235","locus235",0.902208,0.406404,NA,NA,0.582054,Inf,1,0
"Dc40235","locus236",0.132418,0.794172,NA,NA,0.406528,0.487582,0.19452,0
"Dc40235","locus237",0.760156,0.91959,NA,NA,0.336914,1,1,0
"Dc40235","locus239",0.908374,0.748504,NA,NA,0.028304,0.659134,1,1
"Dc40235","locus248",0.74969,0.093636,NA,NA,0.358006,1,1,0
"Dc40235","locus256",0.91505,0.212768,NA,NA,0.958046,NA,0.538132,0
"Dc40235","locus263",0.378024,1,NA,NA,1,NA,0.213252,0
"Dc40235","locus264",0.080752,0.6372,NA,NA,0.146532,NA,1,0
"Dc40235","locus274",0.43152,0.658688,Inf,NA,0.05827,NA,1,0
"Dc40235","locus280",0.376124,0.019386,NA,NA,0.768984,NA,1,1
"Dc40235","locus282",0.902044,0.14955,Inf,NA,0.57176,NA,0.506294,0
"Dc40235","locus286",0.342834,1,NA,NA,0.327184,NA,0.546426,0
"Dc40235","locus291",0.439138,0.921038,NA,NA,0.322812,NA,1,0
"Dc40235","locus292",0.73455,0.006714,NA,NA,0.244776,NA,1,1
"Dc40235","locus296",0.368076,0.667512,NA,NA,0.478646,NA,1,0
"Dc40235","locus301",0.821088,0.415544,Inf,NA,0.590992,NA,1,0
"Dc40235","locus314",0.685876,0.31341,NA,NA,0.179776,NA,1,0
"Dc40235","locus321",0.951622,0.558024,NA,NA,0.059656,NA,0.38288,0
"Dc40235","locus322",0.236682,0.847728,NA,NA,0.603002,NA,0.252552,0
"Dc40235","locus323",0.778018,0.7511,NA,NA,0.03744,NA,1,1
"Dc40235","locus329",0.534258,0.343002,NA,NA,0.284994,NA,0.355976,0
"Dc40235","locus332",0.518192,0.355936,NA,NA,0.257958,NA,0.538256,0
"Dc40235","locus358",0.918212,0.681794,NA,NA,0.078416,NA,0.258544,0
"Dc40235","locus359",0.282446,0.325942,NA,NA,0.819106,NA,Inf,0
"Dc40235","locus360",0.216434,0.74492,NA,NA,0.187298,NA,0.209644,0
"Dc41234","Dc46984",0.751574,0.653332,NA,NA,NA,NA,0.11563,0
"Dc41234","Dc47572",0.884242,0.541376,NA,NA,NA,NA,0.415618,0
"Dc41234","Dc47935",0.352514,0.232926,Inf,NA,NA,NA,0.88669,0
"Dc41234","Dc48207",0.14757,0.362936,NA,NA,NA,NA,Inf,0
"Dc41234","Dc48950",0.959286,0.66304,NA,NA,NA,NA,1,0
"Dc41234","Dc49080",0.003716,0.066486,Inf,NA,NA,NA,1,1
"Dc41234","Dc49184",0.228192,0.232724,NA,NA,NA,NA,Inf,0
"Dc41234","Dc51020",0.477352,0.772582,NA,NA,NA,NA,0.223342,0
"Dc41234","Dc52523",0.11001,0.718324,NA,NA,NA,NA,1,0
"Dc41234","Dc55481",0.586644,0.270458,NA,NA,NA,NA,0.168596,0
"Dc41234","Dc58248",0.18068,0.87687,NA,NA,NA,NA,0.462848,0
"Dc41234","Dc62188",0.821892,0.146072,NA,NA,NA,NA,1,0
"Dc41234","Dc67011",0.747094,0.56399,NA,NA,NA,NA,1,0
"Dc41234","locus003",0.937804,0.923858,Inf,NA,NA,NA,0.284956,0
"Dc41234","locus004",0.480938,0.448146,NA,NA,NA,NA,1,0
"Dc41234","locus005",0.859398,0.616206,NA,NA,NA,NA,1,0
"Dc41234","locus006",0.19241,0.489846,NA,NA,NA,NA,0.366502,0
"Dc41234","locus008",0.564316,0.766912,NA,NA,NA,NA,1,0
"Dc41234","locus013",0.674708,0.110512,NA,NA,NA,NA,1,0
"Dc41234","locus014",0.871868,0.901178,NA,NA,NA,NA,0.286512,0
"Dc41234","locus022",0.661478,0.593346,NA,NA,NA,NA,0.905422,0
"Dc41234","locus024",0.735972,0.86807,Inf,NA,NA,NA,0.368966,0
"Dc41234","locus025",0.841966,0.784562,NA,NA,NA,NA,0.941452,0
"Dc41234","locus027",0.636394,0.786126,NA,NA,NA,NA,NA,0
"Dc41234","locus030",0.184292,0.925688,NA,NA,NA,NA,0.284738,0
"Dc41234","locus035",0.966704,0.967388,NA,NA,NA,NA,0.418394,0
"Dc41234","locus038",0.773558,0.366996,Inf,NA,NA,NA,0.375722,0
"Dc41234","locus039",0.144572,0.872292,NA,NA,NA,NA,0.112106,0
"Dc41234","locus040",0.263208,0.351136,Inf,NA,NA,NA,1,0
"Dc41234","locus041",0.14763,0.596884,NA,NA,NA,NA,1,0
"Dc41234","locus045",0.107984,0.128362,Inf,NA,NA,NA,0.212898,0
"Dc41234","locus047",0.655474,0.709714,NA,NA,NA,NA,0.372856,0
"Dc41234","locus048",0.662176,0.681504,NA,NA,NA,NA,0.179362,0
"Dc41234","locus053",0.070318,0.5593,NA,NA,NA,NA,0.178248,0
"Dc41234","locus055",0.013494,0.774696,NA,NA,NA,NA,0.08333,1
"Dc41234","locus056",0.729598,0.18028,NA,NA,NA,NA,0.463558,0
"Dc41234","locus058",0.765482,0.280272,Inf,NA,NA,NA,0.574134,0
"Dc41234","locus060",0.011972,0.080948,NA,NA,NA,NA,0.463332,1
"Dc41234","locus061",0.669034,NA,NA,NA,NA,NA,1,0
"Dc41234","locus062",0.608422,0.912166,Inf,NA,NA,NA,1,0
"Dc41234","locus064",0.071162,0.375616,NA,NA,NA,NA,Inf,0
"Dc41234","locus065",0.75645,0.79401,Inf,NA,NA,NA,Inf,0
"Dc41234","locus073",0.47232,0.177248,NA,NA,NA,NA,0.85565,0
"Dc41234","locus074",0.022638,0.939444,NA,NA,NA,NA,0.287826,1
"Dc41234","locus076",0.527474,0.64296,NA,NA,NA,NA,0.62374,0
"Dc41234","locus077",0.387044,0.702704,NA,NA,NA,NA,0.413262,0
"Dc41234","locus080",0.581098,0.308604,NA,NA,NA,NA,0.36564,0
"Dc41234","locus083",0.607596,NA,NA,NA,NA,NA,0.428704,0
"Dc41234","locus088",0.920038,0.746028,Inf,NA,NA,NA,0.858786,0
"Dc41234","locus093",0.616804,Inf,Inf,NA,NA,NA,1,0
"Dc41234","locus096",0.61996,0.049844,NA,NA,NA,NA,1,1
"Dc41234","locus098",0.509444,1,NA,NA,NA,NA,0.943564,0
"Dc41234","locus100",0.584,0.196638,NA,NA,NA,NA,0.62861,0
"Dc41234","locus106",0.090154,0.894744,NA,NA,NA,NA,0.749914,0
"Dc41234","locus116",0.563578,0.729702,NA,NA,NA,NA,0.367234,0
"Dc41234","locus119",0.145248,0.638926,NA,NA,NA,NA,1,0
"Dc41234","locus120",0.083694,0.700154,NA,NA,NA,NA,0.416072,0
"Dc41234","locus128",0.481792,0.911358,NA,NA,NA,NA,0.625906,0
"Dc41234","locus129",0.888678,0.912246,NA,NA,NA,NA,0.011706,1
"Dc41234","locus130",0.552698,NA,NA,NA,NA,NA,0.355608,0
"Dc41234","locus134",0.653242,0.489426,NA,NA,NA,NA,0.783744,0
"Dc41234","locus135",0.161212,0.190686,NA,NA,NA,NA,1,0
"Dc41234","locus137",0.800012,0.957878,NA,NA,NA,NA,0.465482,0
"Dc41234","locus139",1,0.79415,NA,NA,NA,NA,0.035632,1
"Dc41234","locus140",1,0.7941,NA,NA,NA,NA,0.036342,1
"Dc41234","locus146",0.861518,0.75107,NA,NA,NA,NA,0.202726,0
"Dc41234","locus148",0.49914,0.201772,NA,NA,NA,NA,0.750228,0
"Dc41234","locus151",0.17175,NA,NA,NA,NA,NA,0.20027,0
"Dc41234","locus157",0.541866,NA,NA,NA,NA,NA,1,0
"Dc41234","locus161",0.571646,0.027396,NA,NA,NA,NA,0.853394,1
"Dc41234","locus165",0.713034,0.34456,NA,NA,NA,NA,0.463148,0
"Dc41234","locus170",0.078902,0.887472,Inf,NA,NA,NA,1,0
"Dc41234","locus176",0.65152,NA,NA,NA,NA,NA,0.282378,0
"Dc41234","locus184",0.031766,0.97211,NA,NA,NA,NA,0.548654,1
"Dc41234","locus186",0.034856,0.272344,NA,NA,NA,NA,0.856646,1
"Dc41234","locus188",0.607556,0.472612,NA,NA,NA,NA,0.440484,0
"Dc41234","locus189",0.691686,0.020974,NA,NA,NA,NA,0.873496,1
"Dc41234","locus190",0.77587,0.579588,NA,NA,NA,NA,0.048852,1
"Dc41234","locus191",0.595366,NA,NA,NA,NA,NA,0.114498,0
"Dc41234","locus192",0.10344,0.962354,NA,NA,NA,NA,1,0
"Dc41234","locus195",0.942426,0.706018,NA,NA,NA,NA,0.21631,0
"Dc41234","locus202",0.352226,0.77895,Inf,NA,NA,NA,0.942614,0
"Dc41234","locus215",0.217112,NA,Inf,NA,NA,NA,0.784594,0
"Dc41234","locus227",0.491916,0.342026,Inf,NA,NA,NA,1,0
"Dc41234","locus231",0.093242,0.745566,NA,NA,NA,NA,0.884336,0
"Dc41234","locus235",0.305288,0.289512,NA,NA,NA,NA,0.188032,0
"Dc41234","locus236",0.908842,0.246062,NA,NA,NA,NA,0.573084,0
"Dc41234","locus237",0.413752,0.901346,NA,NA,NA,NA,1,0
"Dc41234","locus239",0.945286,0.986244,NA,NA,NA,NA,0.545682,0
"Dc41234","locus248",0.469872,0.923836,NA,NA,NA,NA,0.764036,0
"Dc41234","locus256",0.756052,0.939228,NA,NA,NA,NA,0.61554,0
"Dc41234","locus263",0.055354,0.16182,NA,NA,NA,NA,Inf,0
"Dc41234","locus264",0.70417,0.727426,NA,NA,NA,NA,0.630278,0
"Dc41234","locus274",0.097514,0.19736,Inf,NA,NA,NA,0.747388,0
"Dc41234","locus280",0.050546,0.989548,NA,NA,NA,NA,1,0
"Dc41234","locus282",0.797622,0.648744,NA,NA,NA,NA,0.17935,0
"Dc41234","locus286",0.3882,0.130266,NA,NA,NA,NA,0.46367,0
"Dc41234","locus291",0.263942,0.782544,NA,NA,NA,NA,0.868954,0
"Dc41234","locus292",0.834504,0.72929,NA,NA,NA,NA,1,0
"Dc41234","locus296",0.333686,0.247848,NA,NA,NA,NA,0.549984,0
"Dc41234","locus301",0.955106,0.201188,NA,NA,NA,NA,1,0
"Dc41234","locus314",0.759718,0.707908,NA,NA,NA,NA,0.802144,0
"Dc41234","locus321",0.282966,0.552528,NA,NA,NA,NA,0.62542,0
"Dc41234","locus322",0.165154,0.66262,NA,NA,NA,NA,0.195068,0
"Dc41234","locus323",0.576002,0.041888,NA,NA,NA,NA,0.631824,1
"Dc41234","locus329",0.130742,0.783772,NA,NA,NA,NA,0.546066,0
"Dc41234","locus332",0.560578,0.243574,NA,NA,NA,NA,0.189204,0
"Dc41234","locus358",0.925366,0.534898,NA,NA,NA,NA,0.464662,0
"Dc41234","locus359",0.593244,0.39157,NA,NA,NA,NA,Inf,0
"Dc41234","locus360",0.39544,0.21872,NA,NA,NA,NA,0.858414,0
"Dc46984","Dc47572",0.892336,0.235806,NA,NA,0.561292,0.808818,0.062718,0
"Dc46984","Dc47935",0.589626,0.114406,NA,NA,0.320314,0.577618,0.539378,0
"Dc46984","Dc48207",0.45211,0.108266,NA,NA,0.184146,1,0.585916,0
"Dc46984","Dc48950",0.76637,0.697012,NA,NA,0.273028,1,0.949806,0
"Dc46984","Dc49080",0.105842,0.113032,NA,NA,0.828798,0.810646,0.943714,0
"Dc46984","Dc49184",0.628152,0.791724,NA,NA,0.334024,1,0.676492,0
"Dc46984","Dc51020",0.097074,0.162044,1,NA,0.975072,1,0.751406,0
"Dc46984","Dc52523",0.138684,0.302908,NA,NA,0.384338,1,0.227462,0
"Dc46984","Dc55481",0.083016,0.774876,1,0.503038,0.448448,NA,0.221228,0
"Dc46984","Dc58248",0.30109,0.41708,NA,1,0.162254,NA,0.875062,0
"Dc46984","Dc62188",0.552984,0.271384,NA,1,0.350966,NA,0.797426,0
"Dc46984","Dc67011",1,0.257562,NA,1,0.335844,NA,1,0
"Dc46984","locus003",0.738402,0.510422,NA,0.601946,0.307144,NA,0.727924,0
