"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01018","locus191",0.935726,NA,NA,NA,0.855,Inf,0.015096,1
"Dc01018","locus192",0.262624,0.568228,NA,NA,1,Inf,0.343368,0
"Dc01018","locus195",0.2731,0.500666,NA,NA,0.356126,Inf,1,0
"Dc01018","locus202",0.220462,0.584788,Inf,NA,0.037844,Inf,1,1
"Dc01018","locus215",0.462702,NA,NA,NA,1,Inf,0.546136,0
"Dc01018","locus227",0.342536,0.07796,Inf,NA,0.056642,Inf,0.514372,0
"Dc01018","locus231",1,0.544672,Inf,NA,0.496762,NA,0.716428,0
"Dc01018","locus235",1,0.776116,NA,NA,0.079144,Inf,1,0
"Dc01018","locus236",0.206248,0.257498,NA,NA,0.743522,Inf,1,0
"Dc01018","locus237",0.82202,0.06141,NA,NA,0.17761,Inf,0.180304,0
"Dc01018","locus239",1,0.748966,NA,NA,0.81186,Inf,0.309838,0
"Dc01018","locus248",0.27652,0.629834,NA,NA,0.025078,Inf,0.065712,1
"Dc01018","locus256",0.511772,0.044502,NA,NA,0.231462,Inf,1,1
"Dc01018","locus263",0.633794,0.368834,NA,NA,0.611218,NA,Inf,0
"Dc01018","locus264",0.920694,0.808006,NA,NA,0.760348,NA,0.252982,0
"Dc01018","locus274",0.564176,0.32491,NA,NA,0.535796,NA,0.660206,0
"Dc01018","locus280",1,0.117146,NA,NA,0.096056,NA,0.616386,0
"Dc01018","locus282",0.488574,0.163878,NA,NA,0.317206,NA,0.54811,0
"Dc01018","locus286",1,1,NA,NA,0.486222,NA,1,0
"Dc01018","locus291",0.359996,0.373598,NA,NA,0.313544,NA,0.575276,0
"Dc01018","locus292",0.15106,0.905934,NA,NA,0.71682,NA,0.271654,0
"Dc01018","locus296",0.462942,0.142548,NA,NA,1,NA,0.744822,0
"Dc01018","locus301",0.371984,0.91934,NA,NA,0.865942,NA,1,0
"Dc01018","locus314",0.090174,0.21553,NA,NA,0.499268,NA,1,0
"Dc01018","locus321",0.115672,0.928252,NA,NA,0.504134,NA,1,0
"Dc01018","locus322",0.96549,0.594526,NA,NA,0.648808,NA,0.697474,0
"Dc01018","locus323",0.713196,0.660222,NA,NA,0.517916,NA,1,0
"Dc01018","locus329",0.622026,0.84792,NA,NA,0.208044,NA,0.658986,0
"Dc01018","locus332",0.136874,0.71009,NA,NA,0.106312,NA,0.57637,0
"Dc01018","locus358",0.862422,0.771056,NA,NA,1,NA,1,0
"Dc01018","locus359",1,0.219682,NA,NA,0.213032,NA,Inf,0
"Dc01018","locus360",0.446982,0.201738,NA,NA,1,NA,0.089894,0
"Dc01661","Dc01707",0.721446,0.312628,0.333134,NA,0.556338,0.707214,0.139686,0
"Dc01661","Dc01784",0.80117,0.947168,1,NA,0.087556,1,0.011482,1
"Dc01661","Dc02951",0.962968,0.411066,1,NA,0.729538,1,0.049416,1
"Dc01661","Dc03456",0.804492,0.2556,1,NA,0.628938,0.334504,0.127524,0
"Dc01661","Dc03556",0.673504,0.548824,1,NA,0.711462,1,0.894256,0
"Dc01661","Dc06503",0.151636,0.197122,Inf,NA,0.442838,NA,1,0
"Dc01661","Dc07300",0.653758,0.70981,NA,NA,0.450944,1,0.981482,0
"Dc01661","Dc07937",0.936686,0.945664,NA,NA,0.278484,0.811344,0.115762,0
"Dc01661","Dc08054",0.968314,0.030294,NA,NA,0.60855,0.289804,0.536092,1
"Dc01661","Dc08189",0.817328,0.613016,NA,NA,0.13153,0.597764,0.333416,0
"Dc01661","Dc08463",0.118402,0.442276,NA,NA,0.121128,1,0.644016,0
"Dc01661","Dc08865",0.164958,0.619282,NA,NA,0.473516,0.713132,0.358,0
"Dc01661","Dc10003",0.221852,NA,NA,NA,0.339732,Inf,NA,0
"Dc01661","Dc10390",0.770426,0.190806,NA,NA,0.82982,Inf,0.94053,0
"Dc01661","Dc10878",0.14241,0.343708,NA,NA,0.027246,NA,1,1
"Dc01661","Dc10885",0.666038,0.634856,NA,NA,0.518058,1,0.969394,0
"Dc01661","Dc11203",0.550326,0.659814,NA,NA,0.615746,0.28583,0.85506,0
"Dc01661","Dc11714",0.201444,0.377864,NA,NA,0.092316,1,0.65213,0
"Dc01661","Dc13159",0.182704,0.884734,NA,NA,0.364274,1,0.978242,0
"Dc01661","Dc13592",0.262718,0.681818,NA,NA,0.046872,0.33377,0.468518,1
"Dc01661","Dc14022",0.498136,0.649344,NA,NA,Inf,1,Inf,0
"Dc01661","Dc14945",0.868818,0.365532,NA,NA,0.7042,Inf,1,0
"Dc01661","Dc16747",0.126704,0.479562,NA,NA,0.838472,Inf,0.323808,0
"Dc01661","Dc18951",0.54422,0.631382,NA,NA,0.181044,1,0.844306,0
"Dc01661","Dc20232",0.266302,0.347308,NA,NA,0.952466,1,1,0
"Dc01661","Dc22883",0.059794,0.875982,NA,NA,0.901254,NA,1,0
"Dc01661","Dc22887",0.725272,0.408948,NA,NA,0.801672,0.143406,0.303704,0
"Dc01661","Dc27955",0.115104,0.34891,NA,NA,0.158126,NA,0.855084,0
"Dc01661","Dc28124",0.75313,0.706444,NA,NA,0.787972,Inf,0.571456,0
"Dc01661","Dc28776",0.803274,0.147026,NA,NA,0.214726,1,1,0
"Dc01661","Dc30071",0.190938,0.085582,NA,NA,0.381586,0.140894,0.0915,0
"Dc01661","Dc31007",0.237174,NA,NA,NA,0.472096,NA,1,0
"Dc01661","Dc33714",0.263606,0.183,NA,NA,0.84777,1,0.668676,0
"Dc01661","Dc33907",0.054874,0.306432,NA,NA,0.413522,1,0.652924,0
"Dc01661","Dc34902",0.46222,0.72461,NA,NA,0.270698,Inf,0.647018,0
"Dc01661","Dc35779",0.827268,0.533368,NA,NA,0.533196,0.332088,0.443872,0
"Dc01661","Dc36571",0.825192,0.111646,1,NA,0.11837,0.599486,0.892088,0
"Dc01661","Dc36616",0.912028,0.874232,NA,NA,0.08107,0.046592,0.514556,1
"Dc01661","Dc40235",0.465996,0.246542,NA,NA,0.620476,1,0.374848,0
"Dc01661","Dc41234",0.542558,0.109278,NA,NA,NA,NA,0.811468,0
"Dc01661","Dc46984",0.262364,0.46297,NA,NA,0.726318,0.807538,0.42727,0
"Dc01661","Dc47572",0.663646,0.002672,NA,NA,0.583604,1,1,1
"Dc01661","Dc47935",0.578826,0.179154,NA,NA,0.054242,0.710084,0.893748,0
"Dc01661","Dc48207",0.701136,0.23486,NA,NA,0.516348,1,1,0
"Dc01661","Dc48950",0.57237,0.363862,NA,NA,0.503176,0.713492,0.751416,0
"Dc01661","Dc49080",0.928492,0.633308,1,NA,0.468046,0.524404,0.05,0
"Dc01661","Dc49184",0.069728,0.322582,NA,NA,0.241164,1,0.440378,0
"Dc01661","Dc51020",0.820548,0.833022,NA,NA,0.313434,0.144722,0.800888,0
"Dc01661","Dc52523",0.980962,0.617032,NA,NA,0.796418,1,0.32713,0
"Dc01661","Dc55481",0.154512,0.37934,NA,NA,0.761344,1,0.1433,0
"Dc01661","Dc58248",0.86663,0.724994,NA,0.598522,0.228598,NA,0.668848,0
"Dc01661","Dc62188",0.575126,0.51919,NA,1,0.020832,NA,0.252162,1
"Dc01661","Dc67011",0.485862,0.385876,0.332664,1,0.849536,NA,0.697928,0
"Dc01661","locus003",0.018396,0.48599,NA,0.258526,0.161764,NA,0.165772,1
"Dc01661","locus004",0.069988,0.18626,NA,1,0.646778,NA,0.25291,0
"Dc01661","locus005",0.10758,0.3974,1,1,0.154884,NA,0.426456,0
"Dc01661","locus006",0.589786,0.917342,NA,1,0.3205,NA,0.307106,0
"Dc01661","locus008",0.050146,0.06761,NA,0.426078,0.093738,NA,0.833562,0
"Dc01661","locus013",0.785428,0.391318,NA,0.767732,0.704864,NA,0.784894,0
"Dc01661","locus014",0.680808,0.865198,NA,1,0.097566,NA,0.834056,0
"Dc01661","locus022",0.889934,0.84775,1,1,0.42231,NA,0.468332,0
"Dc01661","locus024",0.220718,0.971628,NA,1,0.082826,NA,0.34075,0
"Dc01661","locus025",0.944426,0.69431,NA,0.467594,0.429352,NA,0.949042,0
"Dc01661","locus027",0.761182,0.37062,NA,NA,NA,NA,NA,0
"Dc01661","locus030",0.584972,0.553434,NA,NA,0.475556,NA,0.37664,0
