"id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"z0012492","IsabelSI-South",150,0,0,0.666666666666667
"z0012493","IsabelSI-South",141,9,0.06,0.6
"z0012494","IsabelSI-South",142,8,0.0533333333333333,0.593333333333333
"z0012496","IsabelSI-South",150,0,0,0.56
"z0012497","IsabelSI-South",149,1,0.00666666666666667,0.553333333333333
"z0012498","IsabelSI-South",122,28,0.186666666666667,0.5
"z0012499","IsabelSI-South",150,0,0,0.6
"z0012500","IsabelSI-South",149,1,0.00666666666666667,0.633333333333333
"z0012501","IsabelSI-South",119,31,0.206666666666667,0.5
"z0012503","IsabelSI-South",147,3,0.02,0.586666666666667
"z0012504","IsabelSI-South",150,0,0,0.62
"z0012505","IsabelSI-South",147,3,0.02,0.573333333333333
"z0012506","IsabelSI-South",139,11,0.0733333333333333,0.573333333333333
"z0012507","IsabelSI-South",144,6,0.04,0.66
"z0012509","IsabelSI-South",147,3,0.02,0.6
"z0012511","IsabelSI-South",145,5,0.0333333333333333,0.533333333333333
"z0012515","IsabelSI-South",118,32,0.213333333333333,0.473333333333333
"z0012516","IsabelSI-South",149,1,0.00666666666666667,0.6
"z0012517","IsabelSI-South",139,11,0.0733333333333333,0.553333333333333
"z0012518","IsabelSI-South",135,15,0.1,0.546666666666667
"z0012519","IsabelSI-South",149,1,0.00666666666666667,0.64
"z0012520","IsabelSI-South",146,4,0.0266666666666667,0.68
"z0012521","IsabelSI-South",150,0,0,0.673333333333333
"z0012522","IsabelSI-South",136,14,0.0933333333333333,0.48
"z0012523","IsabelSI-South",133,17,0.113333333333333,0.526666666666667
"z0012524","IsabelSI-South",137,13,0.0866666666666667,0.593333333333333
"z0012525","IsabelSI-South",143,7,0.0466666666666667,0.593333333333333
"z0012527","IsabelSI-South",150,0,0,0.553333333333333
"z0061449","IsabelSI-South",133,17,0.113333333333333,0.506666666666667
"z0061452","IsabelSI-South",139,11,0.0733333333333333,0.58
"z0061453","IsabelSI-South",132,18,0.12,0.52
"z0061455","IsabelSI-South",129,21,0.14,0.54
"z0061457","IsabelSI-South",148,2,0.0133333333333333,0.6
"z0061459","IsabelSI-South",135,15,0.1,0.56
"z0061461","IsabelSI-South",147,3,0.02,0.626666666666667
"z0061462","IsabelSI-South",129,21,0.14,0.56
"z0061467","IsabelSI-South",150,0,0,0.62
"z0061468","IsabelSI-South",138,12,0.08,0.606666666666667
"z0216931","IsabelSI-South",139,11,0.0733333333333333,0.573333333333333
"z0216932","IsabelSI-South",150,0,0,0.606666666666667
"z0216933","IsabelSI-South",120,30,0.2,0.46
"z0216934","IsabelSI-South",146,4,0.0266666666666667,0.573333333333333
"z0216935","IsabelSI-South",145,5,0.0333333333333333,0.613333333333333
"z0216936","IsabelSI-South",143,7,0.0466666666666667,0.593333333333333
"z0216939","IsabelSI-South",140,10,0.0666666666666667,0.546666666666667
"z0216940","IsabelSI-South",90,60,0.4,0.393333333333333
"z0216941","IsabelSI-South",102,48,0.32,0.453333333333333
"z0216942","IsabelSI-South",129,21,0.14,0.5
"z0016882","Malaysia",130,20,0.133333333333333,0.48
"z0016883","Malaysia",149,1,0.00666666666666667,0.693333333333333
"z0016884","Malaysia",150,0,0,0.646666666666667
"z0016885","Malaysia",142,8,0.0533333333333333,0.526666666666667
"z0016886","Malaysia",129,21,0.14,0.546666666666667
"z0016887","Malaysia",131,19,0.126666666666667,0.506666666666667
"z0016888","Malaysia",137,13,0.0866666666666667,0.6
"z0006805","PNG",150,0,0,0.573333333333333
"z0026450","PNG",150,0,0,0.6
"z0026451","PNG",145,5,0.0333333333333333,0.546666666666667
"z0026452","PNG",142,8,0.0533333333333333,0.586666666666667
"z0026456","PNG",135,15,0.1,0.6
"z0026457","PNG",149,1,0.00666666666666667,0.62
"z0026458","PNG",131,19,0.126666666666667,0.466666666666667
"z0032021","PNG",150,0,0,0.633333333333333
"z0032022","PNG",99,51,0.34,0.393333333333333
"z0032023","PNG",128,22,0.146666666666667,0.54
"z0032024","PNG",148,2,0.0133333333333333,0.64
"z0032025","PNG",145,5,0.0333333333333333,0.6
"z0032028","PNG",137,13,0.0866666666666667,0.533333333333333
"z0032031","PNG",141,9,0.06,0.593333333333333
"z0040942","PNG",148,2,0.0133333333333333,0.566666666666667
