"locus","inds.genoed","prop.genoed"
"locus002",100,0.613496932515337
"locus003",153,0.938650306748466
"locus004",158,0.969325153374233
"locus005",153,0.938650306748466
"locus006",148,0.907975460122699
"locus008",153,0.938650306748466
"locus013",153,0.938650306748466
"locus014",155,0.950920245398773
"locus016",148,0.907975460122699
"locus019",114,0.699386503067485
"locus022",152,0.932515337423313
"locus024",144,0.883435582822086
"locus025",141,0.865030674846626
"locus027",90,0.552147239263804
"locus030",146,0.895705521472393
"locus035",146,0.895705521472393
"locus038",132,0.809815950920245
"locus039",146,0.895705521472393
"locus040",129,0.791411042944785
"locus041",129,0.791411042944785
"locus043",53,0.325153374233129
"locus045",145,0.889570552147239
"locus047",151,0.92638036809816
"locus048",149,0.914110429447853
"locus053",147,0.901840490797546
"locus055",146,0.895705521472393
"locus056",153,0.938650306748466
"locus058",149,0.914110429447853
"locus060",155,0.950920245398773
"locus061",131,0.803680981595092
"locus062",153,0.938650306748466
"locus064",157,0.96319018404908
"locus065",154,0.94478527607362
"locus069",69,0.423312883435583
"locus073",147,0.901840490797546
"locus074",153,0.938650306748466
"locus076",125,0.766871165644172
"locus077",138,0.846625766871166
"locus080",142,0.871165644171779
"locus083",128,0.785276073619632
"locus088",154,0.94478527607362
"locus093",108,0.662576687116564
"locus096",155,0.950920245398773
"locus098",130,0.797546012269939
"locus100",157,0.96319018404908
"locus102",60,0.368098159509202
"locus106",143,0.877300613496933
"locus110",88,0.539877300613497
"locus111",8,0.049079754601227
"locus116",135,0.828220858895706
"locus119",153,0.938650306748466
"locus120",157,0.96319018404908
"locus126",93,0.570552147239264
"locus128",125,0.766871165644172
"locus129",154,0.94478527607362
"locus130",122,0.748466257668712
"locus134",137,0.840490797546012
"locus135",152,0.932515337423313
"locus137",149,0.914110429447853
"locus139",156,0.957055214723926
"locus140",159,0.975460122699387
"locus146",145,0.889570552147239
"locus148",158,0.969325153374233
"locus151",137,0.840490797546012
"locus155",1,0.00613496932515337
"locus157",123,0.754601226993865
"locus161",151,0.92638036809816
"locus165",132,0.809815950920245
"locus170",154,0.94478527607362
"locus176",136,0.834355828220859
"locus184",152,0.932515337423313
"locus186",153,0.938650306748466
"locus188",142,0.871165644171779
"locus189",151,0.92638036809816
"locus190",151,0.92638036809816
"locus191",137,0.840490797546012
"locus192",138,0.846625766871166
"locus195",143,0.877300613496933
"locus201",14,0.0858895705521472
"locus202",154,0.94478527607362
"locus210",102,0.625766871165644
"locus215",136,0.834355828220859
"locus227",142,0.871165644171779
"locus229",27,0.165644171779141
"locus231",114,0.699386503067485
"locus235",156,0.957055214723926
"locus236",156,0.957055214723926
"locus237",154,0.94478527607362
"locus239",154,0.94478527607362
"locus248",158,0.969325153374233
"locus255",81,0.496932515337423
"locus256",133,0.815950920245399
"locus263",143,0.877300613496933
"locus264",155,0.950920245398773
"locus271",15,0.0920245398773006
"locus274",144,0.883435582822086
"locus280",135,0.828220858895706
"locus282",144,0.883435582822086
"locus286",145,0.889570552147239
"locus289",35,0.214723926380368
"locus291",162,0.993865030674847
"locus292",153,0.938650306748466
"locus296",150,0.920245398773006
"locus298",63,0.386503067484663
"locus301",141,0.865030674846626
"locus314",115,0.705521472392638
"locus321",146,0.895705521472393
"locus322",153,0.938650306748466
"locus323",145,0.889570552147239
"locus329",145,0.889570552147239
"locus332",156,0.957055214723926
"locus334",69,0.423312883435583
"locus349",104,0.638036809815951
"locus358",155,0.950920245398773
"locus359",146,0.895705521472393
"locus360",137,0.840490797546012
