Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	64	38	46	42	3	45	28	60	77	57	79	17	60	X	28	X	4	69	2	54	X	58	2	22	1	8	X	12	10	X	4	3	X
	796	246	402	263	57	767	288	720	353	700	492	231	314	2	375	X	30	761	10	598	X	411	24	394	13	175	X	101	209	7	74	145	X
	629	117	318	165	81	418	183	495	237	598	286	155	154	1	249	X	11	516	6	712	2	264	39	244	10	3	X	48	76	11	38	89	X
	694	62	226	121	29	1206	256	1959	102	344	281	500	188	1	422	X	21	407	9	364	X	463	8	506	4	163	X	146	184	52	84	267	X
	690	60	153	110	22	666	178	1172	140	309	194	311	142	2	261	X	4	571	20	801	1	260	27	311	6	137	X	132	98	16	38	214	X
	1382	144	533	188	155	726	177	1894	246	975	405	343	208	2	361	X	21	1277	1	2739	2	752	53	359	23	179	X	109	149	22	29	307	1
	671	118	325	164	107	410	175	517	228	588	314	126	165	3	246	X	21	559	3	788	1	268	38	207	25	30	X	69	109	8	25	112	X
	870	59	347	100	111	351	96	1261	140	542	278	262	82	1	181	X	5	744	25	2073	1	416	50	203	6	31	X	70	78	9	28	185	X
	614	58	333	80	66	319	68	897	124	446	159	192	88	1	97	X	6	519	11	1732	X	231	28	126	11	48	X	66	41	12	15	130	X
	598	68	228	102	33	698	95	1149	91	406	177	239	126	X	178	X	3	518	16	1264	X	283	14	214	6	32	X	92	106	114	34	249	1
	297	155	195	195	22	473	238	226	280	363	272	14	192	X	258	X	80	196	4	299	X	189	12	156	22	55	X	76	130	16	41	112	X
	518	42	243	80	78	271	50	909	93	324	121	123	53	X	101	X	4	428	5	1145	X	291	23	111	6	59	X	46	63	21	13	113	X
	444	211	211	268	39	662	303	365	259	493	296	116	300	X	270	X	52	329	5	437	X	242	21	301	24	74	X	102	181	6	64	110	X
	1553	190	17	282	185	1142	230	2012	411	1194	436	393	246	1	436	X	23	1296	41	3010	2	700	55	471	29	258	X	229	199	201	46	367	X
	435	105	241	137	66	532	187	462	191	467	229	145	130	1	241	X	19	328	9	574	X	263	61	201	11	84	X	49	118	3	33	71	X
	391	88	238	104	75	193	100	304	139	369	184	60	112	1	135	X	22	346	8	463	X	175	15	116	15	44	X	48	58	9	27	65	X
	397	86	182	93	46	322	125	380	135	375	193	68	111	1	144	X	17	349	6	480	X	162	20	154	5	84	X	58	66	15	22	79	2
	688	143	355	212	102	585	169	588	252	716	376	137	180	2	289	X	23	634	8	876	X	386	40	289	25	91	X	105	150	12	39	145	X
	472	123	245	157	66	523	190	422	248	561	236	139	143	X	260	X	26	363	9	622	X	305	34	244	19	46	X	70	97	72	26	124	X
	157	6	10	48	1	1690	280	1943	114	5	122	575	221	X	426	X	16	152	12	16	X	371	1	624	2	143	X	142	162	292	71	158	X
	368	24	132	43	70	155	40	428	48	185	75	110	42	X	58	X	5	244	7	544	1	150	14	70	9	31	X	24	25	19	7	50	X
	824	175	409	247	133	750	252	730	283	707	410	207	223	3	376	X	41	578	14	822	X	396	52	377	30	181	X	57	163	12	47	188	X
	234	41	63	63	43	176	79	319	78	221	141	81	75	X	102	X	7	237	4	349	1	117	11	86	8	39	X	21	34	23	15	55	X
	9	X	3	4	X	4	5	3	2	X	4	X	4	X	5	X	X	3	X	3	X	6	X	5	1	X	X	1	X	X	X	2	X
	460	151	339	133	83	596	224	800	256	523	294	267	214	1	201	X	29	448	5	713	X	313	42	275	13	65	X	71	79	13	38	105	X
	1390	162	580	190	199	969	204	1698	319	909	411	433	194	X	381	X	19	1086	48	2573	1	652	67	445	42	217	X	123	147	6	42	224	1
	840	72	340	103	98	364	100	1269	154	461	212	266	82	1	171	X	13	651	35	2024	1	351	35	183	20	69	X	69	74	14	27	175	X
	1327	121	611	201	149	782	182	2059	269	982	372	235	194	1	316	X	15	1133	26	3221	2	590	47	342	29	165	X	139	157	41	38	300	X
	1651	251	756	311	207	1060	297	2391	492	1312	582	444	262	1	516	X	20	1609	53	3473	X	781	103	553	35	151	X	180	215	177	59	311	X
	1566	151	718	227	180	903	194	2389	295	1089	453	202	189	2	359	X	17	1311	54	3808	X	779	80	394	39	179	X	170	194	69	34	342	X
	1469	277	520	365	127	2530	661	1853	460	1230	927	540	445	2	1143	X	55	816	14	1623	X	689	71	919	24	392	X	181	399	249	133	415	1
	392	52	106	90	13	690	172	924	132	245	287	134	170	1	266	X	19	244	5	109	1	261	6	240	5	43	X	78	163	16	47	168	X
	207	48	88	68	28	298	79	221	85	190	111	38	85	X	137	X	13	178	10	222	X	118	12	114	10	X	X	43	51	2	17	80	X
	30	5	7	11	1	18	7	15	10	18	11	5	13	X	9	X	1	24	X	16	X	12	5	5	X	1	X	2	3	1	X	2	X
	550	53	242	88	51	357	74	848	119	474	174	124	77	1	120	X	6	508	23	1569	X	248	18	164	8	35	X	49	59	12	20	186	X
	357	65	171	93	63	192	84	356	127	317	193	97	74	X	122	X	13	296	4	483	X	173	17	125	15	53	X	41	56	7	17	57	X
	287	89	112	111	36	434	141	297	168	208	169	127	123	X	214	X	18	208	4	279	X	127	12	126	7	68	X	41	38	2	31	32	1
	411	37	146	54	7	352	77	562	40	299	144	219	47	X	74	X	1	304	5	461	X	119	12	135	X	38	X	45	53	36	16	174	X
	100	30	31	23	2	118	41	98	49	64	54	15	35	X	30	X	4	64	X	41	X	73	3	23	2	6	X	12	14	X	7	12	X
	140	18	72	17	27	86	13	154	20	89	42	37	13	X	41	X	1	122	1	267	X	60	15	37	3	23	X	14	13	3	5	20	X
	479	42	190	35	65	259	63	1117	83	314	136	231	69	X	75	X	2	329	11	1028	X	248	25	130	5	59	X	42	28	59	16	77	X
	478	85	242	108	78	298	124	433	171	428	199	83	101	X	158	X	18	424	12	563	X	257	31	136	9	36	X	35	74	5	20	79	X
	849	84	292	148	99	1271	199	1359	179	478	261	386	252	1	474	X	31	614	24	1298	1	679	39	461	18	186	X	170	273	7	67	164	X
	16	3	4	3	1	12	6	8	3	5	7	3	7	X	3	X	X	4	X	8	X	3	X	4	X	2	X	4	X	X	2	X	X
	332	41	125	71	22	307	89	425	98	172	142	88	71	X	130	X	2	190	4	398	X	135	15	134	4	45	X	34	88	5	18	58	X
	1072	126	437	144	112	549	131	1443	205	742	251	306	113	1	246	X	5	824	16	2171	X	531	24	250	17	125	X	94	80	41	13	235	X
	586	73	221	77	4	428	58	443	93	234	152	140	106	X	108	X	1	291	7	610	X	61	3	73	4	66	X	56	35	50	18	153	X
	512	67	242	111	76	294	122	507	135	498	225	98	123	X	151	X	14	427	14	696	X	216	26	164	10	72	X	54	90	52	23	79	X
	380	96	185	112	55	325	125	334	132	372	193	119	82	X	143	X	6	360	14	521	X	166	25	144	2	104	X	44	60	90	12	68	X
	746	47	165	117	34	523	83	1061	123	464	178	216	105	X	168	X	3	496	13	1730	X	268	18	225	3	87	X	72	73	54	22	197	X
	24	10	9	11	X	25	9	17	16	11	16	4	6	X	7	X	2	17	X	10	X	16	1	10	X	5	X	6	6	X	2	3	X
	398	52	151	62	43	191	124	433	91	208	146	95	51	X	92	X	7	293	3	571	X	240	19	171	5	32	X	33	34	10	23	77	1
	927	162	522	248	63	1173	333	1468	278	1044	717	217	232	2	413	X	23	902	9	603	X	567	44	334	9	66	X	70	164	28	63	189	X
	437	82	163	108	35	501	137	525	154	383	199	105	131	1	236	X	9	304	6	612	X	201	18	195	13	70	X	52	99	14	37	107	X
	549	60	213	42	77	243	81	1229	99	323	119	130	63	X	93	X	8	461	17	1210	X	274	29	126	8	31	X	46	37	64	13	74	X
	574	60	208	67	70	349	75	758	124	416	156	208	58	X	146	X	5	480	24	1111	X	288	20	183	16	80	X	56	51	14	27	104	X
	30	9	14	9	1	40	12	22	8	18	18	3	9	X	21	X	1	15	X	10	X	20	2	9	X	8	X	1	4	1	4	3	X
	895	61	410	106	130	407	86	1590	158	533	250	265	91	X	184	X	7	718	26	1899	X	440	35	197	14	74	X	50	103	167	19	145	X
	331	60	165	85	20	248	60	246	98	299	129	82	91	1	103	X	12	242	6	416	X	124	43	99	7	61	X	40	64	4	21	58	X
	197	63	97	76	21	529	159	263	147	149	135	87	87	1	224	X	11	162	4	297	X	103	13	154	4	107	X	56	87	2	40	97	X
	457	46	170	56	49	228	53	758	47	302	124	116	43	X	75	X	2	374	8	963	X	208	16	97	3	18	X	44	31	3	12	72	X
	434	116	186	128	73	291	141	358	168	327	224	118	128	X	213	X	15	316	12	404	X	205	29	155	16	19	X	43	118	10	32	78	2
	498	86	243	129	28	548	178	574	172	535	331	75	146	X	226	X	26	477	X	256	1	317	43	197	10	25	X	62	121	62	37	62	X
	557	136	420	303	31	1268	334	953	307	623	547	111	317	1	403	X	27	564	7	570	X	459	41	347	20	88	X	69	300	7	66	124	X
	146	52	47	66	1	190	52	123	124	79	87	29	57	X	68	X	4	158	1	65	X	88	9	25	3	10	X	11	10	8	7	10	X
	466	173	336	227	84	465	229	298	319	472	277	125	206	3	197	X	66	359	4	488	1	271	24	213	34	105	X	69	121	4	56	91	1
	693	118	190	153	89	380	153	562	191	626	333	143	169	X	216	X	22	544	18	915	1	283	33	204	17	94	X	48	82	71	24	100	X
	519	57	220	54	77	244	73	1177	112	302	119	220	77	X	84	X	7	393	12	945	X	270	21	103	5	48	X	40	26	10	15	102	X
	562	62	240	98	77	468	102	705	146	353	176	136	87	1	170	X	9	478	8	1142	X	264	34	182	10	60	X	60	67	75	31	117	X
	X	1	2	1	X	2	X	2	X	X	X	X	1	X	X	X	X	1	X	1	X	X	X	X	X	X	X	X	X	X	X	X	X
	209	36	60	49	1	160	35	162	77	132	96	30	74	X	68	X	4	154	X	65	X	102	1	26	2	10	X	17	18	6	6	11	X
	43	6	13	24	X	329	42	306	20	27	49	123	34	X	66	X	X	100	4	183	X	48	7	65	X	17	X	28	34	7	9	44	X
	8	1	X	3	X	4	2	2	3	3	4	1	3	X	1	X	X	2	X	1	X	2	X	X	X	X	X	1	2	2	X	3	X
	8	1	2	3	X	7	2	11	5	15	3	X	4	X	4	X	1	13	X	X	X	4	X	X	X	1	X	X	X	X	X	X	X
	565	120	218	148	56	520	179	783	167	402	284	197	197	3	222	X	13	473	14	714	1	255	28	242	12	50	X	82	97	6	32	106	X
	886	172	210	196	113	706	183	1078	395	705	326	230	217	5	322	X	31	752	8	1889	1	410	54	344	26	4	X	139	162	13	51	233	1
	477	131	275	167	69	456	191	442	189	442	311	142	144	1	269	X	22	412	10	449	X	312	37	274	12	140	X	41	99	2	43	89	X
	1242	161	602	311	44	1595	387	1712	370	1044	782	215	347	6	499	X	14	880	10	912	X	828	28	439	10	161	X	123	268	6	64	123	X
	27	8	13	8	2	40	17	38	36	14	27	4	16	X	12	X	1	23	X	22	X	31	X	8	X	5	X	4	5	1	1	3	X
	38	5	16	18	X	41	10	34	32	18	19	7	29	X	18	X	1	21	X	17	X	13	3	5	X	5	X	3	3	X	1	3	X
	139	16	45	22	39	84	15	165	24	83	49	36	21	X	31	X	4	114	6	197	X	74	5	24	3	6	X	10	17	2	5	27	X
	1316	138	509	200	92	944	194	1719	345	963	327	460	194	X	317	X	11	1069	34	2690	1	470	45	430	18	176	X	157	165	196	38	334	X
	43	13	27	25	1	30	17	39	35	36	24	12	23	X	15	X	1	45	X	22	X	28	X	6	X	7	X	1	7	X	1	2	X
	443	26	154	38	67	164	34	593	57	223	100	118	35	X	63	X	4	312	14	708	X	200	13	82	6	47	X	35	36	10	7	65	X
	349	30	172	37	54	156	41	561	43	212	101	89	35	1	79	X	4	262	9	615	X	174	12	72	3	35	X	36	29	8	7	71	X
	29	15	29	19	1	36	17	48	32	42	27	5	13	X	22	X	1	46	X	25	X	15	X	13	X	4	X	8	4	8	8	1	X
	323	52	147	66	44	195	83	240	91	256	121	88	82	X	96	X	8	225	8	336	1	164	15	105	4	54	X	19	49	35	15	25	X
	904	95	355	121	109	469	90	1497	167	579	241	268	98	3	179	X	7	835	13	2386	X	513	34	210	16	46	X	77	59	11	15	221	X
	28	10	16	13	1	8	1	25	14	35	23	2	8	X	14	X	X	32	X	13	X	14	3	14	X	5	X	1	3	X	6	2	X
	499	164	222	172	63	493	154	520	281	542	275	208	185	X	249	X	16	488	13	662	X	290	31	276	21	46	X	104	97	91	37	135	X
	1040	188	449	213	110	1067	305	1350	351	857	396	218	232	3	452	X	27	909	20	1922	X	513	48	487	32	105	X	165	271	15	56	200	1
	612	127	260	198	48	801	228	511	326	439	319	196	248	1	265	X	20	466	11	539	X	278	17	302	10	138	X	86	172	7	51	128	X
	53	9	21	12	X	55	20	58	24	35	22	4	18	X	27	X	X	32	X	22	X	51	5	13	X	8	X	4	6	9	3	X	X
	542	103	245	116	68	643	176	560	230	501	260	249	113	X	229	X	8	472	13	774	1	271	32	274	21	82	X	96	115	62	37	166	X
	25	10	11	15	X	32	20	33	13	25	20	2	10	X	15	X	2	16	X	5	X	21	3	11	X	2	X	5	12	1	6	5	X
