Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
134070	6	5	3	16	5	29	1	1	10	11	1	6	10	260	1	X	24	3	2	13	576	13	101	4	3	3	X	3	1	3	1	4	206
76697	6	3	7	50	18	42	1	8	13	6	X	17	26	562	1	X	17	8	13	31	1382	40	224	6	4	3	X	15	2	15	5	15	456
102610	6	X	5	27	7	56	4	2	12	25	1	10	9	318	X	X	19	8	18	25	742	28	151	8	5	63	X	3	1	X	1	10	236
76709	5	X	1	19	4	20	4	4	7	7	1	10	6	207	X	X	6	9	2	10	289	27	85	2	1	1	X	3	3	X	3	5	131
40943	3	1	7	8	1	15	X	2	3	11	X	7	2	186	X	X	X	4	4	14	485	9	63	2	5	1	X	1	1	1	X	2	144
12525	8	1	16	16	3	6	X	8	1	26	2	7	6	310	1	X	X	9	3	13	922	21	125	X	5	X	X	6	1	8	X	9	281
134095	1	X	1	1	2	9	1	3	1	2	X	4	2	126	X	X	X	2	1	4	365	4	44	X	X	34	X	2	X	2	X	1	114
26456	11	1	10	4	1	5	X	4	2	3	1	6	2	246	X	X	2	6	5	18	921	5	58	X	X	5	X	4	1	2	1	9	277
216907	1	1	1	X	1	2	X	X	1	3	X	1	6	50	X	X	8	3	1	1	18	X	17	X	1	X	X	X	X	X	1	X	14
12514	15	1	1	12	1	6	X	2	2	16	2	12	13	475	2	X	4	6	2	6	868	16	97	3	1	9	X	10	1	1	3	10	328
62687	6	1	4	25	2	55	3	1	14	27	3	4	12	331	1	X	19	6	9	17	595	26	122	2	9	115	X	8	1	4	2	8	228
12520	4	X	4	11	1	3	X	10	X	4	1	18	9	572	1	X	X	3	4	4	943	8	44	9	X	3	X	6	3	5	2	10	355
32024	2	2	1	11	2	6	X	6	2	7	X	13	4	361	X	X	2	8	X	9	730	6	96	3	1	1	X	7	X	X	2	6	272
