"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"21","Dc10885",141,1,0.992957746478873,3,0.0212765957446809,0.00709219858156028,0.585724741929785,0.542253521126761,2
"22","Dc11203",142,0,1,2,0.0140845070422535,0,0.257875877171154,0.246478873239437,2
"23","Dc11714",134,8,0.943661971830986,2,0.0149253731343284,0,0.501760858628207,0.366197183098592,1
"24","Dc13159",127,15,0.894366197183099,3,0.0236220472440945,0,0.525349351093959,0.443661971830986,2
"25","Dc13592",133,9,0.936619718309859,3,0.0225563909774436,0,0.350347567030785,0.309859154929577,2
"26","Dc14022",138,4,0.971830985915493,2,0.0144927536231884,0,0.063320158102767,0.0633802816901408,1
"27","Dc14945",142,0,1,2,0.0140845070422535,0,0.131389040959538,0.112676056338028,1
"28","Dc16747",119,23,0.838028169014085,2,0.0168067226890756,0,0.427082225295181,0.387323943661972,1
"29","Dc18951",142,0,1,2,0.0140845070422535,0,0.461951923555467,0.408450704225352,1
"30","Dc20232",139,3,0.97887323943662,3,0.0215827338129496,0,0.222320338674909,0.211267605633803,2
"31","Dc22883",119,23,0.838028169014085,3,0.0252100840336134,0,0.639825550473354,0.563380281690141,2
"32","Dc22887",142,0,1,2,0.0140845070422535,0,0.200666898920022,0.211267605633803,1
"33","Dc27955",113,29,0.795774647887324,2,0.0176991150442478,0,0.330894788593904,0.232394366197183,1
"34","Dc28124",142,0,1,2,0.0140845070422535,0,0.195167471258647,0.21830985915493,1
"35","Dc28776",137,5,0.964788732394366,2,0.0145985401459854,0,0.399053501243282,0.387323943661972,1
"36","Dc30071",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.499734989020974,0.535211267605634,1
"37","Dc31007",95,47,0.669014084507042,2,0.0210526315789474,0,0.180952380952381,0.119718309859155,1
"38","Dc33714",141,1,0.992957746478873,3,0.0212765957446809,0.00709219858156028,0.529491936094495,0.542253521126761,2
