Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
216924	X	X	1	X	X	X	X	X	1	1	X	2	1	23	X	X	7	X	1	2	12	2	2	2	X	X	X	X	X	X	X	1	8
216913	3	X	2	X	X	1	X	X	3	1	X	1	9	80	1	X	2	1	X	1	21	3	20	X	X	12	X	2	X	1	X	X	33
62680b	1	1	1	8	X	20	X	X	6	6	4	2	9	85	X	X	7	1	X	2	191	6	42	X	1	X	X	3	X	X	X	5	66
62680	5	X	2	12	X	27	2	1	14	2	2	4	4	153	X	X	8	2	2	5	255	12	50	2	4	1	X	2	1	1	X	4	81
216929	1	1	X	X	X	12	X	X	3	X	1	X	X	9	X	X	7	1	X	2	2	X	4	X	1	X	X	X	X	X	X	X	5
134070	2	2	2	9	2	13	X	X	3	8	X	5	7	182	X	X	3	2	1	9	414	8	73	3	X	2	X	2	X	2	1	2	140
12492b	19	3	305	23	1	14	1	6	5	18	2	16	9	359	1	X	X	13	X	31	956	23	127	8	3	3	X	9	1	X	1	9	306
12492	26	3	310	26	2	1	4	6	6	10	2	16	8	365	2	X	1	20	X	31	1047	23	150	8	X	4	X	6	X	1	1	11	317
37417	1	X	1	6	1	14	1	1	7	1	1	6	6	232	1	X	6	6	3	5	403	4	62	2	2	X	X	2	X	2	X	10	169
62636	5	2	3	14	X	34	X	1	9	8	1	5	5	125	X	X	19	2	3	9	337	14	49	X	4	X	X	2	1	X	X	3	105
6797	X	X	3	13	X	68	X	X	29	1	X	7	2	18	X	X	19	2	X	5	32	1	10	X	9	X	X	X	X	X	1	3	11
76699	7	X	X	6	1	9	X	2	5	14	X	8	5	196	X	X	7	3	1	4	464	18	71	4	X	4	X	4	X	3	1	5	158
26458	2	3	2	7	1	17	2	4	3	6	1	10	2	240	1	X	1	4	X	25	735	16	82	2	3	80	X	4	X	9	X	6	226
12497	10	3	2	21	1	4	1	3	3	7	5	9	14	260	1	X	8	9	3	6	317	17	63	4	2	3	X	5	X	5	3	3	110
117088	4	X	5	1	X	X	X	2	X	2	1	6	4	64	X	X	1	X	X	3	152	1	15	X	X	X	X	X	1	1	X	2	156
216907	1	1	1	X	1	2	X	X	1	3	X	1	6	50	X	X	8	3	1	1	18	X	17	X	1	X	X	X	X	X	1	X	14
6803b	3	X	6	4	3	10	2	2	3	2	3	12	1	148	X	X	2	10	12	7	394	6	57	X	1	1	X	3	X	1	X	6	131
61457	9	3	6	7	1	10	4	3	3	1	2	4	6	167	1	X	3	5	12	12	375	15	86	4	3	1	X	5	1	X	1	6	127
76709	5	X	1	19	4	20	4	4	7	7	1	10	6	207	X	X	6	9	2	10	289	27	85	2	1	1	X	3	3	X	3	5	131
117094	4	X	X	2	X	1	X	2	1	5	1	6	2	93	1	X	X	4	X	9	530	1	11	4	X	33	X	3	1	5	1	5	199
12502	3	X	1	9	3	32	X	1	9	3	X	2	X	59	1	X	6	2	X	2	165	12	32	X	2	7	X	X	X	X	X	3	47
216930	17	2	6	7	2	17	2	4	1	19	3	8	13	446	1	X	4	11	1	13	494	17	107	3	2	2	X	9	X	X	3	6	252
32031	1	1	129	10	2	10	1	6	1	6	X	12	4	293	2	X	5	4	6	20	1077	13	72	2	X	1	X	6	1	3	1	15	297
